N	3gram	Tiupa_Vved_1	Analitik
1	не может быть	3	16
2	в том что	3	9
3	в то же	4	8
4	в том чтобы	2	7
5	в отличие от	2	6
6	то же время	3	6
7	той или иной	2	6
8	по отношению к	7	5
9	мы имеем дело	3	4
10	к тому же	4	4
11	и представляет собой	2	3
12	состоит в том	2	3
13	подобно тому как	2	3
14	в нашем случае	2	3
15	имеем дело с	2	3
16	с одной стороны	5	3
17	о том что	4	3
18	мере в какой	2	2
19	в данном случае	6	2
20	в этом ряду	2	2
21	в этом отношении	4	2
22	в той мере	2	2
23	не сводится к	4	2
24	той мере в	2	2
25	с легкой руки	2	2
26	и все же	4	2
27	но и в	2	2
