N	3gram	Potebnia_M_4	Vvedenie
1	и т д	3	36
2	для того чтобы	4	20
3	о том что	5	12
4	в том что	7	12
5	тем не менее	4	8
6	не может быть	5	8
7	то же время	3	6
8	в то же	3	6
9	до сих пор	4	6
10	и т п	4	5
11	с течением времени	2	5
12	в данном случае	2	4
13	по крайней мере	5	4
14	на этот вопрос	2	4
15	что иное как	2	4
16	само по себе	5	4
17	в этом случае	5	4
18	не что иное	2	4
19	и в этом	4	4
20	во всяком случае	3	4
21	по отношению к	8	4
22	так или иначе	2	4
23	и в том	2	3
24	с тем что	4	3
25	можно сказать что	4	3
26	вместе с тем	3	3
27	вопрос о том	2	3
28	с точки зрения	3	2
29	не могут быть	2	2
30	не в том	2	2
31	хотя бы и	2	2
32	то же самое	4	2
33	в этих случаях	2	2
34	подобно тому как	2	2
35	обратить внимание на	2	2
