N	2gram	Propp_Russ_2	StatiiOP
1	и в	29	25
2	в этом	11	24
3	в том	22	20
4	что в	22	19
5	может быть	13	19
6	тем что	3	19
7	что это	3	16
8	том что	22	15
9	в этой	3	14
10	и пр	2	13
11	в г	2	12
12	то что	5	12
13	не только	10	12
14	в этих	3	11
15	так что	4	11
16	прежде всего	2	10
17	таким образом	6	10
18	но и	8	9
19	и т	5	8
20	все это	10	8
21	как например	3	8
22	т е	24	8
23	в своих	2	8
24	о том	9	8
25	это не	5	7
26	было бы	3	7
27	с этим	2	7
28	не может	5	7
29	в то	2	7
30	из этих	2	6
31	не в	4	6
32	а а	8	6
33	как бы	18	6
34	как в	7	6
35	а в	9	6
36	и на	6	6
37	между тем	3	6
38	то же	4	5
39	в них	4	5
40	потому что	5	5
41	с другой	2	5
42	об этом	2	5
43	в котором	3	5
44	связано с	2	5
45	в году	3	5
46	а не	4	5
47	того что	3	5
48	мы имеем	6	5
49	но в	5	5
50	с тем	6	4
51	состоит в	15	4
52	это в	2	4
53	у нас	4	4
54	как и	11	4
55	должна была	5	4
56	а б	8	4
57	что здесь	3	4
58	в качестве	3	4
59	к ней	2	4
60	а также	4	4
61	в своей	2	4
62	из этого	2	4
63	связь с	3	4
64	не было	2	4
65	в течение	2	4
66	из которых	2	4
67	к нему	4	4
68	и для	2	4
69	и с	10	4
70	все же	2	4
71	в которой	2	4
72	то время	2	4
73	в эту	3	4
74	во время	12	3
75	к этому	5	3
76	показывает что	8	3
77	с этой	2	3
78	и что	5	3
79	на этом	3	3
80	кроме того	2	3
81	до конца	3	3
82	одной стороны	2	3
83	все эти	3	3
84	в некоторых	9	3
85	по этому	2	3
86	в их	2	3
87	уже не	4	3
88	что для	3	3
89	в виде	4	3
90	но он	3	3
91	связи с	2	3
92	так как	13	3
93	что по	4	3
94	а с	2	2
95	не был	2	2
96	с элементами	2	2
97	не менее	2	2
98	должен был	3	2
99	никогда не	2	2
100	для этого	5	2
101	не столько	2	2
102	тогда когда	4	2
103	и ее	2	2
104	как мы	3	2
105	так чтобы	2	2
106	есть в	2	2
107	но не	5	2
108	только тогда	3	2
109	еще не	6	2
110	во всех	3	2
111	одна из	11	2
112	том чтобы	2	2
113	нас к	3	2
114	не совсем	2	2
115	в виду	2	2
116	один из	2	2
117	должен быть	2	2
118	как можно	2	2
119	тем не	2	2
120	вместе с	6	2
121	дело не	2	2
122	ее в	8	2
123	в форме	2	2
124	нас не	2	2
125	этому поводу	2	2
126	т д	5	2
127	начиная с	2	2
128	с одной	2	2
129	и других	3	2
130	на нее	6	2
131	для того	6	2
132	и по	3	2
133	во многих	9	2
134	мы не	6	2
135	была не	2	2
136	или в	7	2
137	в которых	4	2
138	то и	4	2
139	одно из	2	2
140	могут быть	2	2
141	не имеет	3	2
142	заметить что	2	2
