N	2gram	Tiupa_Disk_1	VerxiiNi
1	и в	16	26
2	таким образом	3	22
3	в этом	15	15
4	точки зрения	3	13
5	как бы	5	12
6	в том	23	11
7	может быть	17	10
8	не только	28	10
9	связи с	4	9
10	что в	4	9
11	но и	14	9
12	с другой	10	8
13	но не	11	8
14	и не	11	8
15	том что	19	7
16	одной стороны	9	7
17	из них	3	7
18	то что	5	7
19	в эпоху	5	7
20	а с	5	7
21	с одной	9	7
22	потому что	4	7
23	но в	8	7
24	к тому	5	6
25	и потому	3	6
26	того же	3	6
27	что и	3	6
28	все же	3	6
29	так и	8	6
30	во всяком	2	6
31	в себе	7	6
32	и т.д	4	6
33	о том	8	6
34	том числе	2	5
35	и к	4	5
36	крайней мере	2	5
37	тому же	5	5
38	отношение к	4	5
39	одной из	4	5
40	в его	7	5
41	никогда не	2	5
42	или менее	2	5
43	лишь в	4	5
44	а не	22	5
45	в силу	5	5
46	более или	2	5
47	по крайней	2	5
48	что он	4	4
49	в нем	9	4
50	числе и	2	4
51	в самом	3	4
52	в котором	5	4
53	целый ряд	2	4
54	не может	9	4
55	а в	5	4
56	то же	7	4
57	и что	2	4
58	и по	2	4
59	в которых	4	4
60	в то	3	4
61	только в	7	4
62	то есть	20	4
63	в этой	2	4
64	далеко не	10	4
65	не менее	2	3
66	в рамках	5	3
67	хотя бы	3	3
68	к этому	2	3
69	можно сказать	5	3
70	для него	4	3
71	и как	6	3
72	представляет собой	17	3
73	в своем	6	3
74	в качестве	34	3
75	и о	4	3
76	к ним	3	3
77	отношению к	9	3
78	когда он	2	3
79	при этом	13	3
80	уже не	4	3
81	в значительной	2	3
82	того что	3	3
83	и даже	3	3
84	то с	2	3
85	в одном	2	3
86	уже в	2	2
87	с его	4	2
88	именно в	3	2
89	состоит в	9	2
90	в них	4	2
91	не как	4	2
92	но при	3	2
93	прежде всего	11	2
94	не всегда	2	2
95	в свою	3	2
96	или иной	5	2
97	ему в	2	2
98	а также	8	2
99	к его	2	2
100	в начале	2	2
101	по своему	3	2
102	же время	4	2
103	так например	2	2
104	еще не	14	2
105	той или	3	2
106	говорили о	2	2
107	стадии развития	2	2
108	не могло	2	2
109	один из	3	2
110	не с	3	2
111	во всех	5	2
112	в процессе	5	2
113	по своим	4	2
114	приводит к	2	2
115	отличается от	2	2
116	не было	7	2
117	одновременно и	2	2
118	мы имеем	2	2
119	свидетельствует о	2	2
120	одним из	2	2
121	и на	5	2
122	сказать что	3	2
123	не в	7	2
124	различия между	3	2
125	по своей	11	2
126	о котором	2	2
127	же самое	2	2
128	и все	2	2
129	к которому	2	2
130	между тем	4	2
131	в виду	2	2
132	в новом	2	2
