N	2gram	Bakhtin_Pr_1	Tragedij
1	и в	38	18
2	в романе	4	10
3	в этом	15	9
4	не только	9	8
5	и не	42	7
6	и на	3	7
7	и с	17	7
8	может быть	26	7
9	как бы	22	7
10	что он	2	6
11	и его	16	6
12	же время	3	6
13	но в	4	6
14	все же	6	5
15	что это	2	5
16	так и	5	5
17	это не	5	5
18	не может	27	5
19	то же	5	5
20	в дальнейшем	3	5
21	как и	7	5
22	в то	4	5
23	несмотря на	3	5
24	но и	9	4
25	то что	8	4
26	в целом	3	4
27	что в	7	4
28	все это	3	4
29	я не	2	4
30	прежде всего	13	4
31	и все	3	4
32	в нем	15	4
33	и даже	3	4
34	том что	3	4
35	но это	3	4
36	и что	2	4
37	в себе	4	4
38	еще не	7	4
39	отнюдь не	19	3
40	в своем	5	3
41	как в	4	3
42	все эти	5	3
43	тем самым	4	3
44	и он	2	3
45	и как	8	3
46	к нему	10	3
47	должно быть	5	3
48	в его	43	3
49	при этом	5	3
50	в мире	3	3
51	как это	2	3
52	с ним	5	3
53	то есть	46	3
54	не имеет	9	2
55	не могут	2	2
56	но они	4	2
57	что и	2	2
58	раз и	2	2
59	в частности	2	2
60	в отличие	5	2
61	данном случае	4	2
62	в известной	3	2
63	что все	2	2
64	а как	3	2
65	с его	2	2
66	отношение к	10	2
67	столь же	2	2
68	и здесь	2	2
69	ни в	11	2
70	в ее	4	2
71	в том	8	2
72	отличие от	5	2
73	в таком	3	2
74	не в	7	2
75	в данном	4	2
76	одна из	2	2
77	тем что	2	2
78	в виде	2	2
79	и ее	2	2
80	по поводу	2	2
81	ивана карамазова	2	2
82	о том	4	2
83	его в	9	2
84	и это	3	2
85	в самом	7	2
86	ничего не	6	2
87	он не	3	2
88	никогда не	5	2
