N	2gram	Trubetskoy_1	FransuaR
1	и в	23	45
2	то есть	2	25
3	и не	8	15
4	не только	7	14
5	в этом	12	14
6	но в	4	14
7	в его	5	13
8	во всех	10	13
9	как бы	10	12
10	что в	8	12
11	в своем	10	11
12	то же	4	11
13	в то	6	11
14	прежде всего	3	10
15	в том	30	10
16	в нем	3	10
17	но и	9	10
18	как и	9	10
19	и с	5	10
20	же время	2	9
21	вовсе не	2	8
22	как мы	2	8
23	в ней	3	8
24	жизни и	2	8
25	таким образом	31	8
26	в самой	2	8
27	так же	8	8
28	в конце	4	7
29	том что	19	7
30	не в	8	7
31	что и	7	7
32	мы видели	2	7
33	все это	11	7
34	также и	2	7
35	потому что	9	7
36	и все	7	7
37	всех этих	4	6
38	что он	7	6
39	в этой	6	6
40	он не	3	6
41	так и	10	6
42	того чтобы	8	6
43	для того	8	6
44	связи с	4	6
45	так как	7	6
46	в них	2	6
47	с ним	6	5
48	и к	5	5
49	на этом	2	5
50	одним из	4	5
51	хотя и	4	5
52	с ее	2	5
53	и их	5	5
54	не может	17	5
55	в связи	3	5
56	все эти	19	5
57	на самом	7	5
58	в себя	2	5
59	самом деле	12	5
60	и у	4	5
61	и на	6	5
62	его в	5	5
63	же как	3	4
64	все они	5	4
65	и от	5	4
66	у него	5	4
67	тому же	6	4
68	такой же	2	4
69	но не	2	4
70	по своему	5	4
71	в самом	8	4
72	в сущности	2	4
73	в общем	6	4
74	между собою	5	4
75	мы уже	4	4
76	в их	4	4
77	как на	4	4
78	а в	3	4
79	в основе	2	4
80	с этим	11	4
81	точки зрения	13	4
82	только в	6	4
83	о том	7	4
84	и это	3	4
85	бы в	3	4
86	не менее	7	3
87	это не	3	3
88	из этих	8	3
89	по существу	6	3
90	но на	2	3
91	есть в	2	3
92	того же	9	3
93	то время	2	3
94	для него	2	3
95	от того	3	3
96	до сих	8	3
97	вместе с	6	3
98	сих пор	8	3
99	не было	2	3
100	именно в	5	3
101	в течение	4	3
102	того что	6	3
103	и для	6	3
104	в которых	2	3
105	в другом	2	3
106	почти все	2	3
107	не могут	4	2
108	если мы	4	2
109	совершенно так	4	2
110	с тем	2	2
111	независимо от	2	2
112	в сторону	2	2
113	себя и	2	2
114	и без	5	2
115	говорить о	2	2
116	точку зрения	2	2
117	хотя бы	4	2
118	он должен	2	2
119	что все	5	2
120	на все	5	2
121	к этому	5	2
122	к тому	8	2
123	народа в	15	2
124	отличие от	3	2
125	конечно в	2	2
126	в начале	2	2
127	то что	18	2
128	было бы	3	2
129	что это	5	2
130	несмотря на	6	2
131	и если	6	2
132	друг с	9	2
133	конечно не	3	2
134	может быть	16	2
135	том же	4	2
136	вступают в	2	2
137	в эти	3	2
138	с другом	9	2
139	даже в	3	2
140	все же	13	2
141	в целом	5	2
142	на том	2	2
143	на него	2	2
144	и до	3	2
145	данном случае	3	2
146	мы говорили	7	2
147	в ту	2	2
148	что эта	4	2
149	и только	2	2
150	уже более	2	2
151	при этом	9	2
152	в истории	3	2
153	в одно	2	2
154	лишь в	5	2
155	и что	8	2
156	ко всему	2	2
157	и наконец	3	2
158	с точки	8	2
159	к нему	2	2
160	не подлежит	3	2
161	жизнь и	3	2
162	у народа	8	2
163	в данном	3	2
164	между тем	12	2
165	мы можем	6	2
166	эти последние	2	2
167	одно из	3	2
168	и вообще	3	2
169	ту же	2	2
170	и т.д	4	2
171	уже и	3	2
172	в эту	2	2
