N	3gram	Potebnia_M_2	Problema
1	тем не менее	5	12
2	в таком случае	2	10
3	во всяком случае	7	10
4	то что мы	2	7
5	и т д	3	6
6	по крайней мере	5	6
7	в этом смысле	2	5
8	с одной стороны	3	5
9	с другой стороны	2	5
10	на то что	3	4
11	более или менее	8	4
12	до сих пор	4	4
13	сама по себе	2	4
14	в то же	2	4
15	в том что	7	4
16	есть прежде всего	2	4
17	то есть не	3	3
18	только тогда когда	2	3
19	не может быть	2	3
20	или по крайней	2	3
21	с самого начала	2	2
22	для того чтобы	2	2
23	сами по себе	7	2
24	само по себе	2	2
25	подобно тому как	4	2
26	на самом деле	2	2
