N	2gram	Tiupa_Teor_1	Myslijsy
1	потому что	3	52
2	то есть	12	42
3	и в	18	39
4	может быть	17	27
5	в том	16	26
6	только в	6	25
7	что в	9	22
8	не может	4	22
9	а не	9	21
10	не только	16	21
11	в нем	4	20
12	но и	9	20
13	и не	13	18
14	том что	9	16
15	не в	7	15
16	в этом	8	15
17	если бы	3	14
18	отношению к	4	13
19	так и	10	13
20	по отношению	4	13
21	в себе	9	13
22	таким образом	3	13
23	в душе	8	11
24	то что	3	10
25	как в	5	10
26	и что	3	10
27	речи и	2	10
28	могут быть	4	9
29	как и	4	9
30	но в	9	9
31	в одном	2	8
32	но не	9	8
33	вместе с	2	8
34	со стороны	2	8
35	того что	4	8
36	в слове	3	8
37	точки зрения	9	8
38	с другой	7	7
39	это не	2	7
40	в этих	3	7
41	не менее	4	6
42	тем не	3	6
43	и как	2	6
44	еще не	4	6
45	как бы	5	6
46	что и	2	6
47	то же	7	6
48	при этом	12	6
49	и по	2	6
50	языка в	4	6
51	вовсе не	3	5
52	то в	2	5
53	и потому	2	5
54	в его	6	5
55	в первом	2	5
56	другой стороны	5	5
57	так же	2	5
58	а в	13	5
59	и для	2	5
60	во втором	3	5
61	и его	8	5
62	не следует	4	5
63	между тем	5	5
64	не могут	2	4
65	никогда не	4	4
66	однако в	7	4
67	тем самым	4	4
68	этом смысле	2	4
69	прежде всего	2	4
70	в свою	3	4
71	а только	3	4
72	субъекта и	2	4
73	свою очередь	2	4
74	же время	5	4
75	для него	2	4
76	к тому	2	4
77	и притом	2	4
78	и даже	2	4
79	из этих	3	4
80	в то	6	4
81	на деле	2	4
82	в самой	2	3
83	во внутренней	2	3
84	тому что	2	3
85	в них	2	3
86	столь же	2	3
87	не могло	2	3
88	и это	2	3
89	в жизни	2	3
90	в этой	3	3
91	в своем	4	3
92	того же	3	3
93	если мы	2	3
94	одной стороны	2	3
95	в своей	6	3
96	из которого	3	3
97	никто не	2	3
98	и тем	3	3
99	в мире	19	3
100	в самом	4	3
101	с одной	2	3
102	заключается в	2	3
103	или даже	4	3
104	и то	2	3
105	сказать что	3	3
106	хотя и	3	3
107	он не	3	3
108	что можно	3	3
109	быть названо	2	3
110	с точки	3	3
111	к которому	3	3
112	слова в	2	2
113	могла бы	2	2
114	есть как	2	2
115	только не	2	2
116	но он	3	2
117	он должен	2	2
118	одного и	3	2
119	ключ к	2	2
120	была бы	3	2
121	уже не	4	2
122	у нас	2	2
123	не будет	2	2
124	мог бы	3	2
125	мы в	2	2
126	могли бы	2	2
127	за пределы	2	2
128	имеет место	2	2
129	и о	4	2
130	одним из	2	2
131	в виду	5	2
132	не все	3	2
133	с ее	3	2
134	в целом	3	2
135	деятельности в	2	2
136	в их	2	2
137	тогда как	15	2
138	времени и	2	2
139	и того	3	2
140	в одно	2	2
141	или в	3	2
142	не ограничивается	2	2
143	с языком	2	2
144	как будто	2	2
145	дело в	2	2
146	есть в	2	2
147	в которой	2	2
