N	2gram	Tiupa_Hudo_1	RusskieA
1	и в	19	36
2	не только	16	22
3	что в	6	19
4	том что	8	19
5	в том	18	17
6	но и	10	16
7	и другие	2	13
8	в этом	11	12
9	это не	2	10
10	как и	2	10
11	и на	2	10
12	потому что	3	10
13	об этом	2	9
14	а в	12	9
15	состоит в	16	8
16	может быть	14	8
17	один из	2	8
18	и по	2	8
19	о том	2	8
20	как это	5	8
21	что и	2	7
22	так и	11	7
23	между тем	4	7
24	и не	15	6
25	при этом	13	6
26	в них	2	6
27	уже не	4	6
28	таким образом	3	6
29	все это	2	6
30	то что	4	6
31	как бы	9	5
32	одно из	2	5
33	как в	2	5
34	тому что	2	4
35	из этих	3	4
36	как уже	2	4
37	к тому	4	4
38	представляет собой	10	4
39	одна из	2	4
40	еще не	3	4
41	и др	2	4
42	во всех	3	4
43	в их	5	4
44	так в	4	4
45	не может	7	4
46	входит в	4	4
47	а с	2	4
48	мы имеем	6	4
49	и что	3	4
50	того что	4	4
51	только в	5	4
52	слова в	2	3
53	не менее	3	3
54	начиная с	2	3
55	к жизни	2	3
56	о чем	2	3
57	в этих	3	3
58	в качестве	24	3
59	в своем	2	3
60	в одном	2	3
61	в свою	3	3
62	и к	3	3
63	тем не	3	3
64	как правило	2	3
65	а также	5	3
66	не с	2	3
67	своего рода	5	3
68	приводит к	5	3
69	то же	10	3
70	и некоторые	2	3
71	с точки	3	3
72	так же	2	3
73	их в	3	3
74	точки зрения	10	3
75	то есть	18	3
76	далеко не	2	3
77	этого слова	2	3
78	в области	6	3
79	и более	2	2
80	в частности	13	2
81	могут быть	4	2
82	в нашем	2	2
83	между собой	2	2
84	и потому	2	2
85	в нем	5	2
86	равной степени	2	2
87	в жизни	2	2
88	и как	3	2
89	свою очередь	2	2
90	но не	11	2
91	быть и	2	2
92	отнюдь не	2	2
93	встречаются в	2	2
94	например в	3	2
95	имеет место	2	2
96	в его	9	2
97	ни одно	2	2
98	в целом	3	2
99	значения и	2	2
100	но она	2	2
101	что она	2	2
102	не на	3	2
103	тогда как	13	2
104	все эти	2	2
105	в какой	2	2
106	в году	2	2
107	а не	9	2
108	и для	2	2
109	с ним	2	2
110	или в	2	2
111	не случайно	3	2
112	хотя и	3	2
113	между двумя	2	2
114	себя и	2	2
115	но в	7	2
116	в равной	2	2
