N	2gram	Propp_Russ_2	Vladivir
1	и в	29	31
2	в году	3	30
3	не только	10	24
4	а к	2	22
5	но и	8	19
6	то что	5	18
7	том что	22	14
8	что в	22	14
9	в этом	11	14
10	и с	10	14
11	там же	12	13
12	но в	5	12
13	в том	22	11
14	потому что	5	11
15	о том	9	11
16	так что	4	10
17	и то	2	10
18	никогда не	2	9
19	как мы	3	9
20	а в	9	9
21	в течение	2	9
22	и по	3	8
23	в то	2	8
24	так как	13	8
25	кроме того	2	7
26	об этом	2	7
27	как это	4	7
28	е в	10	7
29	к этому	5	6
30	у нас	4	6
31	в качестве	3	6
32	может быть	13	6
33	в котором	3	6
34	не может	5	6
35	то же	4	6
36	и что	5	6
37	а с	2	5
38	не был	2	5
39	все это	10	5
40	не в	4	5
41	видно что	2	5
42	и от	3	5
43	а также	4	5
44	что и	2	5
45	не было	2	5
46	в своих	2	5
47	но он	3	5
48	и все	4	4
49	главным образом	3	4
50	для нас	6	4
51	к ней	2	4
52	как и	11	4
53	и как	2	4
54	в этой	3	4
55	совсем не	2	4
56	еще в	2	4
57	один из	2	4
58	в своей	2	4
59	в этот	10	4
60	а а	8	4
61	что для	3	4
62	во всем	2	4
63	к нему	4	4
64	в которой	2	4
65	и через	3	3
66	в виде	4	3
67	с другой	2	3
68	как в	7	3
69	но не	5	3
70	по возвращении	2	3
71	все же	2	3
72	вся эта	2	3
73	вместе с	6	3
74	таким образом	6	3
75	все эти	3	3
76	здесь мы	2	3
77	уже не	4	3
78	жизнь и	2	3
79	и на	6	3
80	с в	8	3
81	на себя	2	3
82	это время	2	3
83	во время	12	3
84	но она	2	3
85	в момент	2	2
86	тем что	3	2
87	с тем	6	2
88	не менее	2	2
89	по этому	2	2
90	и м	8	2
91	в них	4	2
92	а н	3	2
93	по существу	4	2
94	не столько	2	2
95	образом в	2	2
96	того в	2	2
97	на первый	3	2
98	тем не	2	2
99	это и	2	2
100	на этом	3	2
101	то время	2	2
102	не имели	2	2
103	что с	2	2
104	еще не	6	2
105	при этом	6	2
106	того что	3	2
107	было бы	3	2
108	совершенно не	2	2
109	что на	2	2
110	том чтобы	2	2
111	и о	3	2
112	одним из	2	2
113	к жизни	5	2
114	мы приведем	2	2
115	и т	5	2
116	этом и	2	2
117	из них	4	2
118	выше мы	3	2
119	не будем	3	2
120	дело не	2	2
121	из этого	2	2
122	что она	3	2
123	а именно	3	2
124	то и	4	2
125	т д	5	2
126	и для	2	2
127	начиная с	2	2
128	и других	3	2
129	того чтобы	6	2
130	для того	6	2
131	была не	2	2
132	пока еще	2	2
133	под названием	2	2
134	из этих	2	2
135	и еще	2	2
136	по всем	3	2
