N	2gram	Vinokur_Ku_2	Narrotol
1	не только	20	32
2	может быть	15	25
3	но и	7	23
4	в качестве	8	21
5	и не	16	20
6	и в	23	19
7	в том	19	18
8	в этом	18	17
9	в частности	2	14
10	том что	11	14
11	не в	8	14
12	состоит в	2	13
13	а не	10	12
14	своего рода	4	12
15	то что	9	11
16	а в	3	11
17	не может	9	10
18	точки зрения	14	10
19	при этом	2	9
20	со стороны	4	9
21	так и	4	9
22	в его	5	9
23	с другой	8	8
24	как и	2	7
25	еще не	5	7
26	к тому	4	7
27	а также	3	7
28	все же	7	7
29	как в	3	7
30	с одной	2	7
31	что он	5	6
32	но не	6	6
33	именно в	3	6
34	в той	2	6
35	тем самым	2	6
36	как это	5	6
37	но в	11	6
38	отнюдь не	4	5
39	нуждается в	2	5
40	по себе	10	5
41	можно сказать	4	5
42	не все	3	5
43	в форме	3	5
44	уже не	8	5
45	к нему	2	5
46	и его	3	5
47	в данном	4	5
48	в отличие	2	5
49	отличие от	2	5
50	в этой	6	5
51	за собой	2	4
52	перед нами	4	4
53	прежде всего	8	4
54	одного из	2	4
55	в нем	4	4
56	у него	3	4
57	что не	6	4
58	то же	6	4
59	же в	3	4
60	да и	6	4
61	но все	4	4
62	в силу	7	4
63	же время	3	4
64	было бы	15	4
65	связи с	3	4
66	как бы	4	4
67	речь идет	2	4
68	и тем	5	4
69	хотя бы	9	4
70	данном случае	2	4
71	другой стороны	7	4
72	отличается от	3	4
73	в особенности	4	4
74	те же	3	4
75	из которых	3	4
76	сказать что	4	4
77	только в	5	4
78	здесь не	3	4
79	и с	7	4
80	не менее	7	3
81	же как	2	3
82	что в	10	3
83	могут быть	4	3
84	никогда не	2	3
85	уже в	3	3
86	в свою	2	3
87	тем не	6	3
88	ни в	4	3
89	это и	3	3
90	что они	2	3
91	свою очередь	2	3
92	в сущности	9	3
93	на том	2	3
94	хотя и	4	3
95	в ней	3	3
96	он не	3	3
97	и даже	2	3
98	один из	5	3
99	а именно	2	3
100	этом отношении	3	3
101	как мы	3	3
102	сводится к	3	3
103	то или	3	3
104	или иначе	3	3
105	и на	6	3
106	будто бы	2	3
107	между тем	6	3
108	тем что	3	3
109	в конечном	2	3
110	в то	4	3
111	как будто	2	3
112	что это	7	3
113	или иное	3	2
114	должна быть	5	2
115	конечном счете	2	2
116	в своем	2	2
117	себе не	2	2
118	что у	2	2
119	оно не	2	2
120	не как	2	2
121	точно так	3	2
122	не всегда	2	2
123	или иного	2	2
124	утверждать что	2	2
125	и сейчас	2	2
126	различие между	3	2
127	что на	4	2
128	по существу	5	2
129	только о	2	2
130	есть в	3	2
131	языка и	8	2
132	в пределах	4	2
133	она не	2	2
134	несмотря на	5	2
135	он уже	2	2
136	и потому	2	2
137	так или	2	2
138	не имеет	4	2
139	и до	2	2
140	приводит к	5	2
141	так же	4	2
142	как раз	3	2
143	не на	2	2
144	в связи	4	2
145	отношения к	2	2
146	не было	4	2
147	все эти	12	2
148	этой точки	2	2
149	совершенно не	3	2
150	самом деле	9	2
151	что мы	6	2
152	того или	2	2
153	за рамки	2	2
154	и для	2	2
155	с точки	8	2
156	это не	6	2
157	роль в	2	2
158	или в	4	2
159	можно было	9	2
160	в результате	4	2
161	не то	2	2
162	что касается	2	2
163	говорить о	4	2
164	этого слова	5	2
165	и все	2	2
166	всего лишь	3	2
167	а если	2	2
168	ничего не	4	2
169	мы имеем	5	2
