N	3gram	Tiupa_Disk_1	Analitik
1	о том что	5	6
2	в том что	13	6
3	в данном случае	2	5
4	с одной стороны	9	4
5	состоит в том	2	4
6	к тому же	4	4
7	по отношению к	9	4
8	той или иной	3	3
9	мы имеем дело	2	3
10	по крайней мере	2	3
11	подобно тому как	2	3
12	то же время	4	2
13	в отличие от	4	2
14	в значительной степени	2	2
15	по природе своей	5	2
16	в то же	3	2
17	не только в	2	2
18	в частности в	2	2
19	с другой стороны	3	2
20	а не только	2	2
21	едва ли не	2	2
22	в соответствии с	2	2
23	то есть в	2	2
24	тогда как в	5	2
