N	2gram	Losev_Dial_2	FransuaR
1	и в	19	65
2	как бы	14	22
3	и не	30	22
4	вовсе не	13	18
5	в сущности	2	16
6	в том	14	16
7	в этом	8	15
8	но в	2	14
9	в нем	10	13
10	мы уже	8	12
11	прежде всего	8	11
12	и его	5	10
13	и потому	5	10
14	не только	19	10
15	но и	12	10
16	так и	10	10
17	все эти	2	10
18	во всех	2	9
19	все это	4	9
20	форм и	2	9
21	по своему	5	8
22	в своем	4	8
23	всех этих	3	8
24	и даже	14	8
25	за пределы	4	8
26	культуры и	2	8
27	его в	3	7
28	в области	2	7
29	жизни и	6	7
30	точки зрения	12	7
31	только в	5	7
32	никогда не	9	6
33	том что	10	6
34	все же	4	6
35	как мы	3	6
36	времени и	9	6
37	еще не	4	6
38	при этом	4	6
39	может быть	20	6
40	в ней	2	6
41	на самом	2	6
42	тела и	5	6
43	сказать что	10	6
44	одно из	4	6
45	так как	14	6
46	связана с	2	5
47	в одном	4	5
48	в частности	2	5
49	потому что	14	5
50	есть в	2	5
51	и пр	5	5
52	в своей	8	5
53	той или	4	5
54	как в	2	5
55	как и	10	5
56	в той	3	5
57	на мир	2	5
58	в своих	2	5
59	между тем	2	5
60	и все	12	5
61	тело и	3	5
62	в общем	2	4
63	связи с	4	4
64	это уже	2	4
65	на всю	2	4
66	и к	7	4
67	не в	8	4
68	в этой	3	4
69	можно только	2	4
70	это как	3	4
71	в узком	2	4
72	совершенно не	7	4
73	в самом	5	4
74	из них	3	4
75	сих пор	2	4
76	до сих	2	4
77	в их	2	4
78	во время	2	4
79	в жизни	2	4
80	не могут	4	3
81	что в	7	3
82	в состоянии	2	3
83	это не	10	3
84	не просто	12	3
85	в тех	2	3
86	что он	6	3
87	в ее	4	3
88	но все	2	3
89	но это	7	3
90	самом деле	4	3
91	по своей	4	3
92	даже в	3	3
93	к нему	4	3
94	с точки	8	3
95	то что	14	3
96	и их	3	3
97	и прежде	2	3
98	как раз	5	3
99	не может	9	3
100	уже не	3	3
101	в системе	2	3
102	с другой	5	3
103	в себе	15	3
104	в искусстве	2	3
105	и вообще	6	3
106	но как	5	3
107	сама жизнь	2	3
108	с ним	4	3
109	ничего не	3	3
110	и с	5	3
111	в виду	5	3
112	но не	6	2
113	к тому	2	2
114	и вечность	2	2
115	в противоположность	2	2
116	и образы	2	2
117	и от	3	2
118	на все	2	2
119	ни с	4	2
120	бы ни	2	2
121	можно сказать	5	2
122	же в	2	2
123	да и	6	2
124	мы видим	2	2
125	это время	3	2
126	кроме того	3	2
127	и часто	2	2
128	в это	3	2
129	несмотря на	2	2
130	например в	2	2
131	на его	2	2
132	от того	4	2
133	он не	4	2
134	времени то	2	2
135	в некоторых	2	2
136	на него	2	2
137	от всего	2	2
138	в изображении	2	2
139	с одной	2	2
140	понятно что	2	2
141	и вот	4	2
142	того что	6	2
143	что не	6	2
144	что мы	2	2
145	и по	4	2
146	есть только	4	2
147	в таком	4	2
148	или в	2	2
149	в разной	2	2
150	их в	2	2
151	в этих	3	2
152	различия между	2	2
153	быть только	2	2
154	могут быть	4	2
155	и почти	3	2
156	ни на	2	2
157	о том	5	2
158	и это	5	2
159	в чем	3	2
160	это было	3	2
