N	2gram	Propp_Russ_1	Hudozhes
1	и в	36	28
2	том что	19	19
3	и не	6	18
4	своего рода	3	16
5	в том	17	15
6	а не	2	14
7	в этом	12	13
8	о том	8	12
9	как и	10	11
10	при этом	6	11
11	в его	2	11
12	не только	22	11
13	уже не	6	10
14	не случайно	2	10
15	но и	16	9
16	о чем	3	8
17	в жизни	2	8
18	может быть	8	8
19	так и	7	8
20	между тем	7	8
21	к тому	4	7
22	об этом	9	7
23	в частности	2	7
24	что она	2	7
25	тогда как	2	7
26	с ним	2	7
27	состоит в	8	7
28	как это	8	7
29	это не	10	6
30	то что	6	6
31	то же	3	6
32	не было	2	6
33	а в	9	6
34	и с	2	6
35	тем что	4	6
36	что это	3	5
37	и другие	13	5
38	не менее	3	5
39	у него	2	5
40	в своем	3	5
41	как бы	5	5
42	как в	5	5
43	что в	19	5
44	она не	2	5
45	только на	3	5
46	одно из	5	5
47	ничего не	3	5
48	тому что	4	4
49	тем не	3	4
50	но не	2	4
51	что они	7	4
52	в качестве	3	4
53	что и	7	4
54	и т	10	4
55	не может	4	4
56	а п	2	4
57	как будто	5	4
58	только в	4	4
59	в других	11	4
60	в них	6	3
61	в одном	3	3
62	в нем	2	3
63	что на	4	3
64	для нас	6	3
65	еще не	4	3
66	в это	3	3
67	несмотря на	3	3
68	в ней	2	3
69	в этих	3	3
70	все это	6	3
71	а с	4	3
72	следующим образом	4	3
73	так же	3	3
74	или в	2	3
75	с ними	5	3
76	и на	10	3
77	на себя	2	3
78	что у	2	3
79	будто бы	6	3
80	как он	2	3
81	только для	2	2
82	т е	17	2
83	себя и	2	2
84	отнюдь не	2	2
85	его и	2	2
86	на могилах	8	2
87	из этих	4	2
88	с собой	4	2
89	как уже	4	2
90	не с	3	2
91	как мы	10	2
92	она в	3	2
93	в г	4	2
94	они были	2	2
95	одна из	4	2
96	на этом	3	2
97	они и	2	2
98	но тем	2	2
99	и к	3	2
100	и а	4	2
101	к ней	2	2
102	а также	3	2
103	если в	3	2
104	один из	8	2
105	в нашем	2	2
106	все же	5	2
107	из них	8	2
108	вместе с	10	2
109	приводит к	3	2
110	т д	9	2
111	того как	5	2
112	и у	5	2
113	и для	2	2
114	с точки	3	2
115	потому что	10	2
116	в виде	6	2
117	точки зрения	3	2
118	та же	2	2
119	но в	2	2
120	же не	2	2
