N	2gram	Tiupa_Narr_1	EvropaiE
1	и в	11	37
2	в пределах	2	25
3	точки зрения	5	23
4	что в	3	21
5	не только	31	18
6	в то	4	16
7	хотя бы	2	15
8	то же	8	15
9	в своем	3	14
10	в качестве	14	14
11	же время	4	14
12	но и	27	14
13	и не	23	14
14	но в	7	14
15	в этом	12	12
16	в том	8	11
17	в области	2	11
18	так и	5	10
19	отнюдь не	2	9
20	прежде всего	4	9
21	не может	8	9
22	в себе	6	9
23	только в	12	9
24	к тому	6	8
25	в своей	5	8
26	между тем	3	8
27	как и	13	7
28	по своему	2	7
29	того что	4	7
30	а также	6	7
31	с другой	2	7
32	также и	3	7
33	том что	7	6
34	может быть	15	6
35	для того	3	6
36	на то	2	6
37	как бы	6	6
38	то что	9	6
39	того чтобы	4	6
40	и даже	2	6
41	и на	5	6
42	то есть	9	6
43	в частности	14	5
44	столь же	5	5
45	не в	6	5
46	но не	4	5
47	со стороны	8	5
48	как мы	2	5
49	в той	2	5
50	тем самым	5	5
51	именно в	3	4
52	или иной	4	4
53	можно сказать	5	4
54	в самом	6	4
55	то в	4	4
56	в ней	4	4
57	той или	5	4
58	по себе	4	4
59	мы не	3	4
60	и притом	2	4
61	не имеет	2	4
62	сказать что	2	4
63	как это	3	4
64	мира в	4	4
65	в сфере	2	3
66	этом отношении	3	3
67	никогда не	4	3
68	жизни в	2	3
69	и от	2	3
70	на себя	4	3
71	по своим	2	3
72	представляет собой	8	3
73	мы можем	2	3
74	в свою	2	3
75	в известном	2	3
76	известном смысле	2	3
77	из них	4	3
78	всяком случае	2	3
79	не является	3	3
80	и тем	4	3
81	не будет	2	3
82	заключает в	2	3
83	как в	4	3
84	и только	2	3
85	идет о	3	3
86	она в	2	3
87	и для	2	3
88	в таком	2	3
89	к ним	2	3
90	в результате	2	3
91	потому что	5	3
92	во всяком	2	3
93	в данном	11	3
94	о том	4	3
95	дело в	2	3
96	всего лишь	3	3
97	он сам	3	2
98	для них	2	2
99	а не	13	2
100	в этих	2	2
101	в случае	2	2
102	во втором	6	2
103	и все	3	2
104	в одном	4	2
105	к нему	4	2
106	большей части	3	2
107	исключительно в	2	2
108	что на	4	2
109	же в	2	2
110	и того	2	2
111	и как	3	2
112	свою очередь	2	2
113	но как	3	2
114	между ними	2	2
115	но именно	3	2
116	она не	2	2
117	имеет место	4	2
118	меньшей степени	2	2
119	он не	3	2
120	в его	6	2
121	если в	2	2
122	точка зрения	5	2
123	в мире	4	2
124	жизни и	6	2
125	вместе с	2	2
126	данном случае	8	2
127	иначе говоря	8	2
128	а в	13	2
129	если бы	7	2
130	начиная с	3	2
131	другой стороны	2	2
132	или в	6	2
133	и с	3	2
134	хотя и	4	2
135	и еще	2	2
136	в этой	6	2
137	и то	3	2
138	как будто	3	2
139	между собой	2	2
