N	2gram	Nazirov_Tr_1	OGranits
1	и в	18	13
2	и его	6	12
3	прежде всего	4	9
4	не может	5	8
5	и не	7	8
6	может быть	7	8
7	в его	3	7
8	не только	8	6
9	то что	4	6
10	как бы	7	6
11	все же	5	5
12	то же	5	4
13	все это	4	4
14	но в	6	4
15	что в	4	3
16	никогда не	2	3
17	но и	4	3
18	так и	5	3
19	вряд ли	2	3
20	и все	4	3
21	в одном	2	3
22	в ее	2	3
23	как и	5	3
24	не в	2	3
25	и то	2	3
26	в себе	4	3
27	еще в	2	2
28	уже в	3	2
29	а как	2	2
30	в нем	4	2
31	в целом	4	2
32	своего рода	3	2
33	данном случае	2	2
34	с г	2	2
35	все эти	3	2
36	к тому	2	2
37	как в	3	2
38	не имеет	2	2
39	в том	2	2
40	так же	4	2
41	не мог	2	2
42	том что	4	2
43	в данном	2	2
44	в этом	9	2
45	тем что	2	2
46	при этом	3	2
47	и ее	2	2
48	для него	3	2
49	несмотря на	5	2
50	в самом	2	2
51	мог бы	3	2
