N	2gram	Trubetskoy_1	Myslijsy
1	потому что	7	52
2	то есть	4	42
3	и в	26	39
4	может быть	10	27
5	в том	11	26
6	только в	4	25
7	что в	9	22
8	не может	4	22
9	а не	5	21
10	так как	9	21
11	не только	10	21
12	в нем	4	20
13	но и	9	20
14	и не	8	18
15	том что	7	16
16	так что	3	16
17	не в	2	15
18	в этом	15	15
19	если бы	3	14
20	отношению к	3	13
21	так и	6	13
22	в себе	6	13
23	таким образом	22	13
24	точно так	3	11
25	то что	7	10
26	и что	4	10
27	тогда когда	2	9
28	но в	7	9
29	в одном	3	8
30	но не	8	8
31	вместе с	15	8
32	того что	3	8
33	точки зрения	13	8
34	с другой	8	7
35	в этих	4	7
36	не менее	3	6
37	тем не	3	6
38	и как	3	6
39	еще не	2	6
40	как бы	12	6
41	что и	6	6
42	все же	6	6
43	то же	4	6
44	при этом	3	6
45	и по	4	6
46	с тем	18	5
47	для всех	2	5
48	из себя	2	5
49	несмотря на	6	5
50	и потому	6	5
51	в его	5	5
52	во всех	2	5
53	так же	5	5
54	а в	4	5
55	и для	5	5
56	не имеет	5	5
57	в таком	3	5
58	между тем	2	5
59	не могут	2	4
60	никогда не	5	4
61	при таком	2	4
62	прежде всего	2	4
63	в свою	2	4
64	в смысле	4	4
65	мы видели	2	4
66	же время	2	4
67	для него	3	4
68	к тому	6	4
69	не было	2	4
70	и даже	3	4
71	а так	3	4
72	из этих	10	4
73	в то	4	4
74	что мы	2	4
75	только для	2	3
76	в самой	2	3
77	что это	3	3
78	к одной	2	3
79	в них	2	3
80	и от	4	3
81	не могло	2	3
82	и это	2	3
83	что все	4	3
84	самого начала	2	3
85	о котором	2	3
86	так например	2	3
87	с самого	3	3
88	в этой	4	3
89	в своем	3	3
90	того же	6	3
91	одной стороны	7	3
92	относится к	2	3
93	из которого	3	3
94	для того	5	3
95	в мире	5	3
96	связи с	9	3
97	в самом	4	3
98	то ни	2	3
99	с одной	7	3
100	но при	2	3
101	как на	8	3
102	в глазах	2	3
103	сказать что	2	3
104	во всяком	6	3
105	одно из	2	3
106	он не	4	3
107	и при	3	3
108	с точки	6	3
109	мы должны	6	3
110	в создании	2	3
111	и все	2	3
112	к которому	2	3
113	и с	10	3
114	есть как	2	2
115	только не	2	2
116	убеждение что	2	2
117	с этой	3	2
118	по крайней	5	2
119	но с	3	2
120	бы то	2	2
121	на все	2	2
122	связь с	2	2
123	и вместе	4	2
124	уже с	3	2
125	что именно	2	2
126	на то	2	2
127	но если	2	2
128	ни было	2	2
129	жизни и	2	2
130	уже не	3	2
131	но все	7	2
132	если не	2	2
133	все что	2	2
134	того чтобы	5	2
135	мысль о	2	2
136	них не	2	2
137	и о	3	2
138	и если	3	2
139	одним из	2	2
140	в виду	2	2
141	взгляд на	2	2
142	крайней мере	5	2
143	из этого	2	2
144	заключает в	2	2
145	только что	2	2
146	для этого	2	2
147	ничего общего	2	2
148	не могла	2	2
149	и только	4	2
150	в разных	2	2
151	что оно	4	2
152	в одно	2	2
153	в течение	4	2
154	на этот	4	2
155	хотя бы	3	2
156	к ним	3	2
157	в начале	2	2
158	ее с	2	2
159	живых существ	2	2
160	о том	6	2
161	но вместе	2	2
162	не потому	2	2
163	в которой	3	2
164	в других	3	2
165	еще только	2	2
166	из него	2	2
167	мы можем	2	2
