N	3gram	Losev_Vlad_1	Problema
1	тем не менее	2	18
2	и т д	2	10
3	на то что	4	8
4	для того чтобы	2	8
5	как раз и	2	7
6	в этом смысле	4	6
7	о том что	7	5
8	в том что	7	5
9	в то же	4	4
10	в конце концов	3	4
11	то что он	5	3
12	дело в том	4	3
13	что же касается	4	3
14	более или менее	3	3
15	можно сказать что	2	3
16	с другой стороны	3	3
17	во всяком случае	2	3
18	на этот раз	4	2
19	также и то	2	2
20	в истории философии	2	2
21	как мы увидим	2	2
22	истории философии и	2	2
23	не может быть	3	2
24	и то что	4	2
25	так как он	2	2
26	мы увидим ниже	3	2
27	как это мы	2	2
