N	3gram	Tiupa_Disk_1	TeoriaLi
1	по отношению к	9	8
2	в отличие от	4	7
3	то же время	4	6
4	в то же	3	6
5	в том что	13	6
6	в данном случае	2	5
7	не сводится к	2	5
8	состоит в том	2	4
9	более или менее	2	4
10	можно сказать что	2	3
11	той или иной	3	3
12	в свою очередь	3	3
13	с другой стороны	3	3
14	и того же	2	2
15	одного и того	2	2
16	и в форме	2	2
17	индивидуального речевого замысла	2	2
18	мы имеем дело	2	2
19	в соответствии с	2	2
20	тогда как в	5	2
21	по своей природе	2	2
22	не может быть	3	2
23	тот или иной	2	2
24	с одной стороны	9	2
25	а с другой	3	2
