N	2gram	Losev_Prob_3	TeoriaLi
1	не только	14	18
2	в качестве	3	17
3	и не	35	16
4	а в	5	14
5	в частности	2	13
6	и в	44	13
7	может быть	28	12
8	так и	10	12
9	то есть	34	12
10	при этом	4	11
11	в этом	17	11
12	в том	21	11
13	но не	3	10
14	а не	18	10
15	и его	5	10
16	в его	9	9
17	то же	13	9
18	что в	8	8
19	такого рода	6	8
20	но и	10	8
21	себя в	2	7
22	в себе	8	7
23	том что	12	7
24	в отличие	2	7
25	в данном	9	7
26	точки зрения	5	7
27	в то	9	7
28	только в	19	7
29	как это	2	7
30	отличие от	3	7
31	еще не	5	6
32	как бы	9	6
33	но в	12	6
34	однако в	2	5
35	в своем	5	5
36	или иного	3	5
37	или иной	8	5
38	а также	4	5
39	в ее	4	5
40	как и	10	5
41	не в	13	5
42	в самом	3	5
43	того или	6	5
44	в нем	9	5
45	данном случае	7	5
46	как в	5	5
47	он не	8	5
48	уже не	7	5
49	тем самым	5	5
50	с другой	7	5
51	мы имеем	2	5
52	в искусстве	4	5
53	не менее	10	4
54	не столько	2	4
55	в стихотворении	2	4
56	можно сказать	6	4
57	ни в	8	4
58	в своей	5	4
59	то что	23	4
60	в их	2	4
61	не может	7	4
62	в слове	2	4
63	сказать что	16	4
64	хотя и	5	4
65	и ее	3	4
66	говорить о	3	4
67	ни к	3	3
68	перед нами	8	3
69	в порядке	3	3
70	никогда не	6	3
71	в нашем	5	3
72	в этих	2	3
73	в отношении	2	3
74	прежде всего	3	3
75	художественного произведения	14	3
76	и к	6	3
77	а только	5	3
78	тем не	10	3
79	по своему	2	3
80	для него	3	3
81	того что	8	3
82	и сам	5	3
83	той или	12	3
84	и потому	7	3
85	этого слова	5	3
86	с ее	2	3
87	другой стороны	5	3
88	как раз	8	3
89	таким образом	9	3
90	а с	2	3
91	именно в	2	3
92	в другом	2	3
93	и что	7	3
94	и по	2	3
95	или в	4	3
96	о ней	2	3
97	и то	14	3
98	потому что	25	3
99	в основе	2	3
100	в этой	3	3
101	его в	3	3
102	все эти	7	3
103	в художественном	3	3
104	сама по	8	2
105	о чем	2	2
106	если бы	3	2
107	могут быть	2	2
108	за пределы	5	2
109	в конце	5	2
110	того же	2	2
111	это не	9	2
112	вовсе не	37	2
113	или иных	4	2
114	по себе	25	2
115	что он	9	2
116	к тому	3	2
117	об этом	3	2
118	при условии	2	2
119	это тоже	2	2
120	но как	4	2
121	и как	3	2
122	что они	5	2
123	одно и	3	2
124	и больше	3	2
125	мы в	4	2
126	из которых	2	2
127	однако если	3	2
128	художественности и	3	2
129	слова как	2	2
130	в виду	10	2
131	его внешней	2	2
132	и особенно	2	2
133	и тем	9	2
134	в целом	6	2
135	во всех	2	2
136	вместе с	2	2
137	дело не	2	2
138	образом и	2	2
139	а именно	8	2
140	человеческой жизни	2	2
141	здесь не	8	2
142	собственно говоря	5	2
143	и для	2	2
144	с одной	2	2
145	и состоит	2	2
146	от себя	2	2
147	это и	7	2
148	тех или	5	2
149	в той	3	2
150	и о	5	2
151	с точки	2	2
152	и даже	14	2
153	и притом	4	2
154	во всей	3	2
155	так же	5	2
156	и здесь	5	2
157	как будто	3	2
158	о том	6	2
159	жизни но	2	2
160	и это	9	2
161	в чем	4	2
162	в которой	2	2
163	отношения к	3	2
164	это было	2	2
