N	2gram	Vinokur_St_1	Sovremen
1	не может	8	17
2	точки зрения	11	12
3	может быть	15	12
4	таким образом	7	11
5	мы не	2	9
6	в каждом	3	8
7	в этом	21	7
8	и в	44	7
9	и не	16	6
10	как и	9	6
11	в результате	3	6
12	ничего не	2	6
13	что же	6	5
14	прежде всего	7	5
15	все эти	5	5
16	с точки	8	5
17	как бы	4	4
18	в целом	5	4
19	жизни и	5	4
20	это не	8	4
21	а в	17	4
22	вопрос о	4	4
23	не только	18	4
24	же это	3	4
25	в том	36	4
26	их в	2	4
27	из них	8	4
28	точку зрения	3	4
29	так как	5	4
30	уже в	2	3
31	все же	8	3
32	при таком	2	3
33	может не	2	3
34	все это	5	3
35	в конце	3	3
36	в наших	2	3
37	то же	5	3
38	ясно что	10	3
39	в нем	5	3
40	а не	16	3
41	из двух	3	3
42	для нас	7	3
43	у нас	11	3
44	не в	12	3
45	в этой	11	3
46	еще не	3	3
47	при этом	2	3
48	было бы	17	3
49	и все	2	3
50	в первом	2	3
51	в себе	2	3
52	в области	14	3
53	что она	4	3
54	но в	10	3
55	и потому	2	3
56	совершенно не	5	2
57	этих двух	3	2
58	каждого из	2	2
59	что это	4	2
60	не менее	5	2
61	в виде	3	2
62	у него	2	2
63	можно назвать	2	2
64	быть и	2	2
65	и во	2	2
66	из этих	6	2
67	тем же	3	2
68	или же	2	2
69	о значении	3	2
70	что все	2	2
71	с одной	3	2
72	еще более	4	2
73	который как	2	2
74	самом деле	11	2
75	и что	4	2
76	что при	2	2
77	в и	130	2
78	на этот	3	2
79	и даже	5	2
80	и по	5	2
81	тем не	2	2
82	он должен	2	2
83	той же	5	2
84	в таком	3	2
85	но все	4	2
86	такой же	5	2
87	свою собственную	2	2
88	во всяком	6	2
89	а на	3	2
90	могут быть	5	2
91	с этим	3	2
92	что в	30	2
93	говорить о	2	2
94	со всеми	2	2
95	такого рода	2	2
96	по мнению	3	2
97	в самом	7	2
98	в которой	4	2
99	в его	9	2
100	всяком случае	6	2
