N	2gram	Vinokur_St_2	FransuaR
1	и в	29	49
2	прежде всего	5	19
3	в его	13	18
4	не только	19	17
5	и его	6	17
6	и на	6	17
7	и не	9	15
8	в этом	21	15
9	в них	2	13
10	только в	2	13
11	но и	19	13
12	в году	3	13
13	во время	2	12
14	как и	2	11
15	как бы	5	11
16	вовсе не	6	10
17	в этой	2	10
18	все это	11	9
19	в романе	4	9
20	для него	4	9
21	и др	2	9
22	в нем	4	9
23	все же	6	7
24	не может	2	7
25	таким образом	10	7
26	то же	2	7
27	все эти	2	7
28	о мире	2	7
29	именно в	4	6
30	то что	11	6
31	xviii века	2	6
32	в истории	2	6
33	времени и	4	6
34	так и	9	6
35	сказать что	2	6
36	и с	4	6
37	но он	3	6
38	точки зрения	5	6
39	в то	2	6
40	так как	2	6
41	с его	2	5
42	никогда не	3	5
43	в своем	9	5
44	выражение в	2	5
45	в начале	3	5
46	но не	3	5
47	при этом	2	5
48	может быть	2	5
49	и потому	2	5
50	в своей	7	5
51	в особенности	2	5
52	с точки	2	5
53	в эту	3	5
54	и более	2	4
55	в духе	2	4
56	с другой	4	4
57	и к	4	4
58	в себе	2	4
59	том что	27	4
60	но все	7	4
61	и о	4	4
62	в этих	3	4
63	сих пор	5	4
64	до сих	6	4
65	не было	3	4
66	как на	9	4
67	в области	2	4
68	тем что	3	4
69	там где	2	4
70	но в	8	4
71	но они	2	3
72	о чем	5	3
73	в течение	6	3
74	в одном	6	3
75	не был	3	3
76	что он	13	3
77	в ее	2	3
78	в г	7	3
79	в том	27	3
80	а затем	2	3
81	в значительной	2	3
82	не дает	2	3
83	было бы	5	3
84	из них	3	3
85	несмотря на	2	3
86	в самом	7	3
87	наконец в	3	3
88	даже в	2	3
89	раз в	2	3
90	ни в	3	3
91	связан с	3	3
92	века и	2	3
93	связь с	2	3
94	другой стороны	3	3
95	этом отношении	9	3
96	на первом	2	3
97	только с	2	3
98	также и	2	3
99	и вообще	2	3
100	о том	17	3
101	и это	2	3
102	почти все	2	3
103	в виду	7	3
104	это был	2	2
105	связи с	4	2
106	что в	19	2
107	в качестве	5	2
108	в предисловии	3	2
109	как известно	2	2
110	на то	2	2
111	в свет	5	2
112	xix века	3	2
113	в тех	2	2
114	в отношении	2	2
115	он был	2	2
116	по существу	2	2
117	но это	3	2
118	что они	2	2
119	так например	7	2
120	до него	2	2
121	ничего не	4	2
122	до конца	3	2
123	и другие	2	2
124	по поводу	8	2
125	по словам	4	2
126	совершенно не	2	2
127	такого рода	2	2
128	значительной степени	2	2
129	очень хорошо	2	2
130	одним из	6	2
131	хотя и	4	2
132	в ней	7	2
133	еще в	2	2
134	вместе с	7	2
135	ее в	2	2
136	в их	3	2
137	должен был	4	2
138	вряд ли	3	2
139	того как	7	2
140	на самом	3	2
141	того чтобы	6	2
142	нашло свое	2	2
143	и даже	3	2
144	так же	3	2
145	особенно в	2	2
146	другом месте	2	2
147	был для	4	2
148	своего времени	4	2
149	во всяком	3	2
150	одной из	3	2
151	на его	2	2
152	в другом	4	2
153	в конце	2	2
154	в устах	2	2
155	всяком случае	3	2
