N	2gram	Bakhtin_Fr_5	Literetu
1	не только	14	24
2	при этом	2	19
3	в качестве	2	17
4	но и	10	17
5	а не	4	16
6	в том	10	16
7	том что	7	14
8	может быть	2	13
9	в году	3	13
10	и не	15	12
11	в этом	14	12
12	прежде всего	10	11
13	в своем	11	11
14	своего рода	4	11
15	то что	2	10
16	не в	7	8
17	в целом	2	8
18	и в	45	8
19	только в	4	8
20	как это	4	8
21	не менее	3	7
22	в его	13	7
23	как бы	12	7
24	как и	10	6
25	связи с	6	6
26	того что	3	6
27	точки зрения	4	6
28	то есть	25	6
29	с его	7	5
30	что он	6	5
31	же время	9	5
32	а также	4	5
33	как в	3	5
34	не может	5	5
35	то же	11	5
36	в отличие	2	5
37	одним из	5	5
38	в данном	2	5
39	не столько	2	5
40	в то	11	5
41	отличие от	2	5
42	перестает быть	2	4
43	это не	3	4
44	в конце	7	4
45	с миром	8	4
46	но не	4	4
47	еще в	2	4
48	все же	2	4
49	в своей	3	4
50	данном случае	2	4
51	так и	6	4
52	и т.п	16	4
53	в связи	5	4
54	лишь в	2	4
55	и его	13	4
56	как раз	5	4
57	в этой	6	4
58	в основе	4	3
59	не было	3	3
60	что в	12	3
61	и есть	2	3
62	в пределах	2	3
63	и прежде	3	3
64	века в	3	3
65	например в	5	3
66	в самом	4	3
67	несмотря на	2	3
68	не мог	4	3
69	у него	4	3
70	том же	2	3
71	один из	2	3
72	и др	8	3
73	жизни и	8	3
74	в их	4	3
75	а в	4	3
76	таким образом	8	3
77	еще и	3	3
78	и даже	4	3
79	той же	4	3
80	потому что	7	3
81	одно из	2	3
82	нуждается в	3	3
83	он и	3	3
84	но в	14	3
85	также и	7	3
86	его в	5	3
87	дело в	3	3
88	на этом	5	2
89	для них	2	2
90	все они	4	2
91	превращается в	2	2
92	из этих	3	2
93	мир и	3	2
94	в себя	5	2
95	к тому	2	2
96	тому же	4	2
97	из его	2	2
98	в другом	3	2
99	того же	3	2
100	для него	3	2
101	было бы	2	2
102	по поводу	4	2
103	внутренней свободы	2	2
104	вплоть до	2	2
105	относится к	2	2
106	даже в	2	2
107	произведение в	2	2
108	не могло	3	2
109	должен быть	2	2
110	в нем	10	2
111	на том	2	2
112	в сущности	4	2
113	и только	2	2
114	этом отношении	5	2
115	все эти	5	2
116	чтобы не	2	2
117	самом деле	5	2
118	ко всему	2	2
119	хотя бы	2	2
120	с точки	2	2
121	роль в	2	2
122	можно было	4	2
123	между тем	2	2
124	ту же	2	2
125	о том	4	2
126	как он	3	2
127	здесь как	4	2
128	которая не	2	2
