N	2gram	Berdyaev_V_1	Mirosoze
1	и в	16	46
2	в нем	4	22
3	в этом	4	20
4	никогда не	3	18
5	для него	2	18
6	и не	20	18
7	не только	2	18
8	во имя	32	16
9	но и	5	15
10	как и	4	13
11	не есть	6	13
12	а не	7	13
13	прежде всего	2	12
14	потому что	4	12
15	не было	3	11
16	в ней	4	11
17	но в	3	10
18	не в	3	9
19	любовь к	3	8
20	и есть	4	8
21	но это	3	8
22	как бы	5	8
23	так как	9	8
24	на земле	7	8
25	человека и	6	7
26	в мире	5	7
27	любовь не	2	7
28	что он	4	7
29	ивана карамазова	2	7
30	и потому	7	7
31	хотя бы	3	7
32	и для	3	7
33	хлеба земного	6	6
34	того что	5	6
35	и зла	2	6
36	жизни и	3	6
37	во христе	3	6
38	бы и	3	5
39	что все	4	5
40	один из	2	5
41	добра и	4	5
42	это не	2	5
43	в конце	3	5
44	тот кто	2	5
45	и все	4	5
46	в духе	2	5
47	бога и	5	5
48	к тому	3	5
49	то что	9	5
50	в своей	3	5
51	в его	4	5
52	и это	2	5
53	что в	3	4
54	они и	2	4
55	тому что	3	4
56	все что	4	4
57	есть уже	2	4
58	в бога	2	4
59	свободы и	12	4
60	не имеет	3	4
61	земного и	4	4
62	самого себя	2	4
63	с его	3	4
64	в жизни	3	4
65	великого инквизитора	36	4
66	том что	2	4
67	что и	3	4
68	в социализме	3	4
69	так и	4	4
70	уже не	2	4
71	того чтобы	2	4
72	к чему	3	4
73	в боге	5	4
74	нет у	4	3
75	в образе	4	3
76	ни в	3	3
77	в том	3	3
78	что они	7	3
79	мира сего	4	3
80	и против	3	3
81	и никогда	2	3
82	не так	2	3
83	духа и	2	3
84	людей и	2	3
85	восстает против	3	3
86	нет ничего	3	3
87	с ним	2	3
88	в них	3	3
89	и во	2	3
90	что было	2	3
91	от свободы	2	3
92	своей свободы	2	3
93	не будет	2	3
94	и тогда	2	3
95	все равно	2	3
96	для человека	2	3
97	тех которые	3	3
98	тем что	2	3
99	только в	2	3
100	те которые	2	3
101	в чем	3	3
102	в этих	3	2
103	вавилонской башни	4	2
104	мир и	2	2
105	людей во	3	2
106	ее и	2	2
107	камней в	2	2
108	да и	2	2
109	верит в	2	2
110	и хлеба	2	2
111	есть соблазн	3	2
112	хотя и	5	2
113	людей в	3	2
114	великом инквизиторе	5	2
115	не к	2	2
116	и за	2	2
117	и люди	2	2
118	что есть	5	2
119	лишь в	3	2
120	к небытию	4	2
121	должно быть	3	2
122	его не	2	2
123	а в	2	2
124	от своей	2	2
125	личности и	3	2
126	между тем	2	2
127	о великом	4	2
128	к богу	8	2
129	превращается в	3	2
130	имя счастья	2	2
131	познания добра	2	2
132	совести и	2	2
133	и что	3	2
134	тот же	3	2
135	в средство	3	2
136	для человечества	2	2
137	во всех	3	2
138	в смысл	2	2
139	оно не	3	2
140	смысл мира	2	2
141	нем нет	2	2
142	ее в	2	2
143	не хотел	2	2
144	более чем	2	2
145	что не	4	2
146	вот почему	2	2
147	можно было	2	2
148	от этого	3	2
149	хлеба небесного	6	2
150	богу и	2	2
151	это все	2	2
152	два начала	2	2
