N	3gram	Vygotskiy__2	Vvedenie
1	и т д	2	36
2	для того чтобы	13	20
3	о том что	4	12
4	в том что	17	12
5	тем не менее	4	8
6	не может быть	8	8
7	то же время	2	6
8	в самом деле	11	6
9	в то же	2	6
10	до сих пор	5	6
11	и т п	8	5
12	с другой стороны	2	5
13	в том чтобы	3	5
14	в данном случае	4	4
15	на этот вопрос	2	4
16	можно было бы	4	4
17	по сравнению с	2	4
18	само по себе	3	4
19	в этом отношении	5	4
20	во всяком случае	2	4
21	в том виде	3	3
22	и в том	2	3
23	с тем что	3	3
24	и в самом	4	3
25	заключается в том	10	3
26	и той же	4	2
27	в конце концов	3	2
28	с точки зрения	10	2
29	имеет дело с	2	2
30	не в том	2	2
31	точно так же	3	2
32	то же самое	6	2
33	состоит в том	2	2
34	подобно тому как	2	2
35	одной и той	4	2
