N	2gram	Tiupa_Lite_1	Narrotol
1	не только	24	31
2	но и	17	27
3	и не	12	23
4	при этом	19	19
5	может быть	13	15
6	в частности	15	14
7	в качестве	17	14
8	в тексте	8	13
9	как и	6	13
10	а не	16	13
11	а в	3	13
12	только в	8	12
13	в этом	12	12
14	и в	8	11
15	в данном	5	11
16	состоит в	11	10
17	такого рода	10	10
18	своего рода	11	10
19	и его	4	10
20	тогда как	13	10
21	то что	10	9
22	с собачкой	2	9
23	то есть	6	9
24	то же	5	8
25	в том	16	8
26	данном случае	4	8
27	со стороны	4	8
28	и т.п	4	8
29	не может	5	8
30	уже не	7	8
31	представляет собой	4	8
32	у него	3	7
33	том что	14	7
34	но в	3	7
35	одного из	3	6
36	к тому	2	6
37	а также	5	6
38	не в	8	6
39	в самом	3	6
40	не мог	3	6
41	как бы	7	6
42	один из	3	6
43	жизни и	3	6
44	как раз	4	6
45	тому же	2	6
46	во втором	2	6
47	в себе	7	6
48	в его	7	6
49	в этой	4	6
50	в своей	4	5
51	так и	4	5
52	тем самым	5	5
53	столь же	4	5
54	потому что	3	5
55	точки зрения	6	5
56	как правило	2	5
57	с его	5	4
58	никогда не	4	4
59	из этих	2	4
60	к себе	3	4
61	с позиции	2	4
62	или иной	2	4
63	все же	4	4
64	для него	2	4
65	но не	4	4
66	же время	5	4
67	прежде всего	11	4
68	еще не	4	4
69	вплоть до	2	4
70	и тем	4	4
71	в нем	2	4
72	в мире	2	4
73	из них	4	4
74	как в	5	4
75	того что	6	4
76	в принципе	3	4
77	на себя	2	4
78	в то	5	4
79	о том	2	4
80	одна из	3	4
81	из наиболее	2	4
82	в сознании	2	4
83	мира в	3	4
84	не менее	7	3
85	тому как	2	3
86	по мысли	2	3
87	что в	3	3
88	это уже	2	3
89	обращается к	2	3
90	однако в	2	3
91	в своем	11	3
92	это не	4	3
93	в жизни	6	3
94	что он	5	3
95	художественного письма	9	3
96	сводится к	3	3
97	тем не	2	3
98	различного рода	2	3
99	в поле	2	3
100	в целом	8	3
101	самом деле	2	3
102	при всей	3	3
103	в конечном	5	3
104	еще в	4	3
105	не является	2	3
106	отношению к	2	3
107	по отношению	3	3
108	не было	3	3
109	этом отношении	2	3
110	лишь в	4	3
111	но при	2	3
112	в слове	2	3
113	и то	2	3
114	также и	3	3
115	подобно тому	2	3
116	исходя из	3	3
117	как будто	2	3
118	в русской	10	3
119	всего лишь	4	3
120	как это	8	3
121	между тем	2	3
122	а для	2	3
123	классического реализма	2	2
124	этого не	2	2
125	казалось бы	5	2
126	для них	2	2
127	отнюдь не	2	2
128	которая в	2	2
129	не могло	2	2
130	в конце	4	2
131	другого сознания	4	2
132	в сущности	2	2
133	не сводится	3	2
134	же в	5	2
135	да и	3	2
136	и того	2	2
137	в москве	2	2
138	в пределах	3	2
139	в случае	4	2
140	и самого	2	2
141	и является	2	2
142	xix столетия	3	2
143	всяком случае	2	2
144	хотя бы	2	2
145	себя в	6	2
146	дело не	2	2
147	в сфере	3	2
148	в е	2	2
149	ли не	3	2
150	только на	2	2
151	в отличие	5	2
152	в связи	4	2
153	и только	2	2
154	текста как	2	2
155	по терминологии	2	2
156	сознания в	12	2
157	в году	13	2
158	что не	2	2
159	тем же	3	2
160	и даже	3	2
161	с другой	3	2
162	войне и	2	2
163	друг друга	4	2
164	отличие от	5	2
165	роль в	2	2
166	для друга	2	2
167	во всяком	3	2
168	он и	3	2
169	друг для	2	2
170	более не	2	2
171	связи с	6	2
172	я в	5	2
173	в равной	2	2
174	дело в	3	2
175	от сознания	2	2
176	дамы с	2	2
177	в области	3	2
178	мыслится как	3	2
179	та же	2	2
