N	2gram	Kanaev_Sov_1	Stilisti
1	и в	7	42
2	как бы	4	27
3	не только	4	27
4	прежде всего	5	22
5	и т.д	3	20
6	то же	3	15
7	и не	6	14
8	может быть	12	12
9	не может	17	12
10	точки зрения	12	11
11	как и	6	11
12	мы должны	4	10
13	отнюдь не	3	10
14	как мы	2	10
15	в этом	7	10
16	при этом	3	9
17	мы не	9	9
18	все же	3	8
19	таким образом	11	8
20	что же	5	8
21	в себе	3	8
22	зависимости от	4	7
23	так как	4	7
24	в зависимости	4	7
25	было бы	3	7
26	а не	3	7
27	мы можем	6	7
28	в которой	2	7
29	ничего не	6	7
30	точку зрения	4	6
31	или иной	2	6
32	не в	3	6
33	в этой	3	6
34	в свою	2	6
35	на его	2	6
36	в конце	3	6
37	когда мы	3	6
38	в нем	3	6
39	в области	3	6
40	уже в	3	5
41	в нашем	2	5
42	мы видели	4	5
43	с помощью	4	5
44	а в	4	5
45	и наконец	5	5
46	в живом	2	5
47	же самое	2	5
48	же мы	2	5
49	в его	2	5
50	вместе с	4	5
51	с точки	5	5
52	той же	2	5
53	самого начала	3	4
54	что это	2	4
55	мы называем	3	4
56	в каждом	8	4
57	с самого	3	4
58	но все	2	4
59	свою очередь	2	4
60	в самом	2	4
61	все это	3	4
62	но в	3	4
63	и к	3	4
64	у нас	3	4
65	мы видим	2	4
66	не знаем	2	4
67	если мы	4	4
68	уже не	2	4
69	самом деле	2	4
70	и пр	2	4
71	тем же	2	4
72	так сказать	2	4
73	это не	4	3
74	для нас	3	3
75	в целом	4	3
76	из них	4	3
77	жизни и	4	3
78	и даже	2	3
79	их в	4	3
80	видели что	3	3
81	и все	3	3
82	в одном	3	3
83	еще не	3	3
84	нет и	4	3
85	что такое	2	3
86	роль в	2	3
87	вопрос о	4	2
88	в том	4	2
89	развития в	2	2
90	тот или	2	2
91	времени и	2	2
92	из двух	3	2
93	но мы	3	2
94	жизни мы	2	2
95	все эти	5	2
96	только одна	6	2
97	теперь же	2	2
98	между собой	3	2
99	с этим	2	2
100	ясно что	3	2
101	а на	2	2
102	тот же	2	2
103	и потому	3	2
104	еще мало	2	2
105	из которых	2	2
106	к чему	2	2
107	в дальнейшем	4	2
