N	2gram	Nazirov_Tv_1	Problema
1	то что	8	42
2	вовсе не	5	35
3	то есть	12	33
4	и в	21	32
5	и не	7	31
6	не менее	6	19
7	в этом	6	19
8	тем не	2	18
9	не только	7	17
10	потому что	5	16
11	а не	5	15
12	в виде	3	15
13	в себе	2	15
14	как бы	17	14
15	может быть	5	14
16	но в	7	14
17	и тем	2	13
18	в нем	3	13
19	сказать что	2	13
20	при помощи	2	13
21	что в	12	12
22	том что	11	12
23	так и	2	12
24	и т	3	11
25	и даже	3	11
26	о том	6	11
27	так как	3	11
28	то же	13	10
29	прежде всего	4	10
30	в этой	5	10
31	отнюдь не	5	10
32	об этом	2	10
33	но не	3	9
34	в том	7	9
35	но и	3	9
36	так же	3	9
37	в данном	2	9
38	данном случае	2	8
39	не может	4	8
40	и на	7	8
41	в своей	4	8
42	но это	5	8
43	никогда не	3	7
44	все это	10	7
45	того что	3	7
46	и все	6	7
47	что он	6	7
48	только в	5	7
49	так что	2	6
50	и как	4	6
51	при этом	7	6
52	в самом	3	6
53	хотя и	3	6
54	в виду	2	6
55	таким образом	5	6
56	это не	4	6
57	не существует	3	6
58	есть не	2	6
59	в то	15	6
60	в его	13	6
61	на самом	3	6
62	самом деле	2	6
63	перед нами	2	5
64	в своем	4	5
65	можно сказать	2	5
66	не имеют	4	5
67	в котором	6	5
68	что она	2	5
69	то в	2	5
70	действительности и	2	5
71	далеко не	3	5
72	именно в	2	4
73	точно так	2	4
74	не в	2	4
75	в дальнейшем	3	4
76	один из	4	4
77	на том	2	4
78	в их	3	4
79	в одно	2	4
80	или в	2	4
81	а в	6	4
82	ни на	3	4
83	в литературе	2	4
84	самое время	2	4
85	как в	8	4
86	только на	2	4
87	тем самым	7	4
88	и притом	2	4
89	уже в	3	3
90	что не	2	3
91	в этих	2	3
92	с другой	3	3
93	что все	3	3
94	что его	2	3
95	хотя бы	5	3
96	из них	2	3
97	но она	2	3
98	и его	6	3
99	действительности в	2	3
100	же и	2	3
101	но он	2	3
102	настоящее время	2	3
103	с ним	3	3
104	в жизни	2	3
105	как и	12	3
106	того же	2	3
107	не нужно	2	3
108	к тому	2	3
109	он не	8	3
110	себе не	2	3
111	говорит о	3	3
112	уже не	3	3
113	свидетельствует о	2	3
114	во всей	2	3
115	как будто	5	3
116	дело в	3	3
117	в чем	2	3
118	значит что	2	3
119	он сам	6	2
120	но только	2	2
121	крайней мере	2	2
122	его как	2	2
123	для него	6	2
124	из подполья	13	2
125	на его	3	2
126	из других	2	2
127	но если	3	2
128	в него	2	2
129	здесь нет	2	2
130	которого он	2	2
131	от других	2	2
132	который является	2	2
133	мы находим	2	2
134	что для	2	2
135	больше чем	2	2
136	и с	3	2
137	в первом	2	2
138	я и	3	2
139	с его	11	2
140	могут быть	2	2
141	однако в	2	2
142	по крайней	2	2
143	у пушкина	2	2
144	и того	2	2
145	вот в	2	2
146	в качестве	2	2
147	со всеми	3	2
148	по преимуществу	2	2
149	гораздо более	2	2
150	не будет	2	2
151	вместе с	2	2
152	ее в	3	2
153	только что	2	2
154	в которой	3	2
155	не то	2	2
