N	2gram	Medvedev_F_2	EvropaiE
1	и в	38	37
2	в пределах	12	25
3	точки зрения	8	23
4	что в	7	21
5	не только	9	18
6	с точки	7	17
7	в то	5	16
8	хотя бы	6	15
9	то же	6	15
10	в качестве	2	14
11	же время	5	14
12	но и	13	14
13	и не	20	14
14	но в	4	14
15	в этом	27	12
16	в их	6	11
17	в том	11	11
18	в области	3	11
19	так и	8	10
20	отнюдь не	8	9
21	прежде всего	15	9
22	все более	2	9
23	не может	14	9
24	т е	26	9
25	только в	6	9
26	к тому	4	8
27	в ее	2	8
28	было бы	6	8
29	в своей	7	8
30	между тем	2	8
31	как и	9	7
32	того что	3	7
33	с другой	3	7
34	так как	4	7
35	вовсе не	11	6
36	том что	2	6
37	может быть	23	6
38	для того	3	6
39	как бы	4	6
40	то что	6	6
41	во всех	5	6
42	того чтобы	3	6
43	и даже	4	6
44	и на	3	6
45	же как	3	5
46	столь же	2	5
47	не в	15	5
48	но не	2	5
49	со стороны	2	5
50	как мы	7	5
51	в той	2	5
52	тем самым	2	5
53	и по	2	5
54	от этого	3	5
55	независимо от	4	4
56	то ни	2	4
57	именно в	5	4
58	или иного	5	4
59	в самом	16	4
60	то в	2	4
61	в ней	6	4
62	даже в	2	4
63	в процессе	9	4
64	по себе	7	4
65	мы не	3	4
66	не имеет	2	4
67	сказать что	2	4
68	того или	4	4
69	как это	2	4
70	место в	3	3
71	и к	4	3
72	этом отношении	7	3
73	с тем	11	3
74	никогда не	2	3
75	и от	2	3
76	этом смысле	2	3
77	в общем	5	3
78	в известной	2	3
79	мы видели	4	3
80	применении к	2	3
81	очевидно что	2	3
82	известной степени	4	3
83	из них	4	3
84	всяком случае	5	3
85	не является	3	3
86	и тем	2	3
87	что и	8	3
88	не будет	2	3
89	во второй	2	3
90	ее в	2	3
91	как в	4	3
92	и только	5	3
93	идет о	2	3
94	и для	5	3
95	и прежде	3	3
96	в таком	2	3
97	в результате	6	3
98	потому что	2	3
99	во всяком	5	3
100	тем что	8	3
101	ни на	2	3
102	в применении	2	3
103	там где	4	3
104	большинстве случаев	3	3
105	отметить что	2	3
106	не могут	7	2
107	и более	2	2
108	для них	3	2
109	а не	6	2
110	в этих	2	2
111	еще более	5	2
112	в какой	3	2
113	во втором	7	2
114	с этим	5	2
115	в большинстве	4	2
116	и все	3	2
117	к нему	3	2
118	и теперь	4	2
119	представление о	2	2
120	главным образом	3	2
121	для понимания	6	2
122	что на	2	2
123	и как	3	2
124	в сторону	4	2
125	такой же	3	2
126	но как	2	2
127	между ними	2	2
128	должна быть	5	2
129	но именно	3	2
130	что это	3	2
131	она не	2	2
132	не к	2	2
133	по преимуществу	5	2
134	дело идет	4	2
135	на язык	2	2
136	он не	6	2
137	в его	10	2
138	в котором	2	2
139	если в	3	2
140	не есть	3	2
141	в развитии	2	2
142	при помощи	2	2
143	и отчасти	3	2
144	жизни и	3	2
145	в некоторых	4	2
146	вместе с	6	2
147	всего в	2	2
148	во всей	2	2
149	что же	5	2
150	а в	6	2
151	таким образом	20	2
152	если бы	5	2
153	и других	2	2
154	а именно	2	2
155	в значительной	3	2
156	и наконец	4	2
157	другой стороны	4	2
158	тому чтобы	2	2
159	поскольку он	2	2
160	в других	7	2
161	как их	2	2
162	с другими	10	2
163	или в	3	2
164	этот вопрос	2	2
165	и с	9	2
166	хотя и	3	2
167	могут быть	6	2
168	в этой	6	2
169	и то	2	2
170	в истории	6	2
171	бы совершенно	2	2
172	следует отметить	3	2
173	бы в	5	2
