N	2gram	Trubetskoy_1	KulturaY
1	и т	3	33
2	в том	17	30
3	и в	14	24
4	потому что	5	23
5	том что	9	21
6	что в	4	17
7	того чтобы	8	17
8	для того	6	16
9	было бы	5	15
10	в этом	17	14
11	точки зрения	11	14
12	может быть	9	13
13	все же	4	12
14	таким образом	11	12
15	в его	4	12
16	и не	19	12
17	не в	4	11
18	только в	5	11
19	в силу	2	10
20	в самом	3	10
21	не только	9	10
22	хотя бы	5	10
23	если бы	6	9
24	то что	13	9
25	прежде всего	8	9
26	самом деле	7	9
27	того что	3	9
28	с точки	9	9
29	о том	7	9
30	так как	4	9
31	том чтобы	3	8
32	по отношению	2	8
33	то же	11	8
34	уже не	2	8
35	а не	2	8
36	тем что	3	8
37	связи с	3	7
38	в качестве	3	7
39	как бы	4	7
40	вместе с	4	7
41	не может	22	7
42	в области	2	7
43	тогда когда	4	6
44	именно в	3	6
45	что он	6	6
46	при этом	5	6
47	что такое	2	6
48	в ней	2	6
49	но и	10	6
50	что же	4	6
51	все это	6	6
52	можно было	4	6
53	все эти	2	6
54	с тем	6	5
55	что это	3	5
56	к тому	7	5
57	но не	4	5
58	еще не	3	5
59	всяком случае	6	5
60	и что	2	5
61	целый ряд	2	5
62	не просто	2	5
63	а потому	5	5
64	а в	5	5
65	в результате	2	5
66	во всяком	9	5
67	между тем	5	5
68	с ним	2	5
69	и с	7	5
70	в частности	2	4
71	в этих	2	4
72	к себе	2	4
73	и потому	3	4
74	на то	5	4
75	в нем	5	4
76	по существу	5	4
77	что они	3	4
78	из них	3	4
79	в таких	2	4
80	что и	3	4
81	не есть	3	4
82	сих пор	5	4
83	со стороны	4	4
84	до сих	5	4
85	и тогда	2	4
86	с этим	2	4
87	тем самым	2	4
88	так что	2	4
89	так же	2	4
90	и на	5	4
91	в данном	7	4
92	из этих	3	4
93	и является	2	4
94	того или	2	4
95	нисколько не	2	3
96	как на	8	3
97	если не	2	3
98	состоит в	2	3
99	для этого	3	3
100	ясно что	2	3
101	на себя	2	3
102	или иного	2	3
103	или иной	5	3
104	то это	3	3
105	сводится к	3	3
106	в этой	4	3
107	и если	7	3
108	на том	3	3
109	в котором	2	3
110	или менее	4	3
111	тому что	2	3
112	в своем	6	3
113	а с	2	3
114	не было	3	3
115	что оно	3	3
116	в их	4	3
117	более или	4	3
118	и даже	2	3
119	в таком	2	3
120	несмотря на	3	3
121	должно быть	3	3
122	должна быть	2	3
123	и то	4	3
124	даже и	2	3
125	в себе	9	3
126	это только	2	3
127	любовь к	2	2
128	том и	2	2
129	только к	3	2
130	и более	2	2
131	для них	3	2
132	и есть	2	2
133	можно ли	3	2
134	никогда не	5	2
135	этого не	2	2
136	что все	3	2
137	на самом	6	2
138	не могут	4	2
139	вопрос о	5	2
140	по себе	2	2
141	разумеется что	2	2
142	в то	10	2
143	для нас	2	2
144	этом случае	3	2
145	как и	4	2
146	и как	3	2
147	при том	4	2
148	это есть	2	2
149	и при	6	2
150	в большинстве	3	2
151	же время	10	2
152	что с	2	2
153	ли это	4	2
154	конечно не	5	2
155	в своей	5	2
156	том же	2	2
157	но если	3	2
158	себе и	4	2
159	речь идет	2	2
160	если в	6	2
161	и тем	2	2
162	ее в	2	2
163	ни в	2	2
164	были бы	2	2
165	чтобы в	2	2
166	котором идет	2	2
167	он не	5	2
168	и для	6	2
169	лишь в	3	2
170	а во-вторых	2	2
171	во многих	2	2
172	или в	3	2
173	это разумеется	2	2
174	о котором	3	2
175	на эту	2	2
176	идет речь	4	2
177	тогда как	2	2
178	и должно	2	2
179	но в	2	2
180	любви к	2	2
