N	2gram	Vygotskiy__6	Tragedij
1	и в	28	18
2	в этом	27	9
3	не только	16	8
4	он сам	2	7
5	и не	11	7
6	и на	5	7
7	может быть	13	7
8	как бы	11	7
9	что он	18	6
10	и его	3	6
11	у него	2	6
12	но в	5	6
13	все же	2	5
14	к жизни	4	5
15	так и	6	5
16	это не	5	5
17	не может	19	5
18	то же	7	5
19	как и	6	5
20	в то	6	5
21	несмотря на	2	5
22	но и	10	4
23	то что	28	4
24	в целом	3	4
25	что в	17	4
26	все это	2	4
27	я не	4	4
28	прежде всего	2	4
29	и все	5	4
30	в нем	7	4
31	так же	15	4
32	том что	19	4
33	но это	2	4
34	в этой	5	4
35	что я	2	4
36	и что	6	4
37	в себе	4	4
38	еще не	8	4
39	один из	3	3
40	в своем	7	3
41	в конце	2	3
42	как в	3	3
43	все эти	2	3
44	тем самым	8	3
45	и как	6	3
46	в его	3	3
47	что с	3	3
48	для него	6	3
49	при этом	3	3
50	мог бы	3	3
51	как это	3	3
52	с ним	2	3
53	еще в	2	2
54	не имеет	6	2
55	ребенка в	8	2
56	не могут	5	2
57	что и	4	2
58	только к	3	2
59	раз и	2	2
60	в частности	4	2
61	что все	5	2
62	вопрос о	5	2
63	с его	3	2
64	отношение к	7	2
65	к тому	10	2
66	между этими	4	2
67	и здесь	3	2
68	в ходе	3	2
69	ребенка и	2	2
70	в том	28	2
71	до конца	3	2
72	друг друга	4	2
73	так что	6	2
74	не в	4	2
75	в данном	2	2
76	и то	4	2
77	потому что	22	2
78	в первом	4	2
79	с тем	5	2
80	тем что	8	2
81	не играют	2	2
82	чем он	2	2
83	раз он	2	2
84	его в	6	2
85	в самом	8	2
86	он не	7	2
87	в одном	2	2
88	никогда не	8	2
