N	2gram	Propp_Russ_1	FransuaR
1	и в	36	49
2	то есть	3	32
3	в его	2	18
4	не только	22	17
5	и на	10	17
6	и не	6	15
7	в этом	12	15
8	в них	6	13
9	только в	4	13
10	но и	16	13
11	в году	2	13
12	во время	14	12
13	как и	10	11
14	как бы	5	11
15	все это	6	9
16	и др	4	9
17	в нем	2	9
18	все же	5	7
19	один из	8	7
20	не может	4	7
21	таким образом	6	7
22	то же	3	7
23	все эти	2	7
24	как мы	10	7
25	то что	6	6
26	во всех	4	6
27	так и	7	6
28	и с	2	6
29	точки зрения	3	6
30	так как	15	6
31	в своем	3	5
32	из этих	4	5
33	но не	2	5
34	при этом	6	5
35	может быть	8	5
36	в основном	3	5
37	и потому	2	5
38	в особенности	2	5
39	с точки	3	5
40	и более	2	4
41	в жизни	2	4
42	и к	3	4
43	том что	19	4
44	но все	3	4
45	одна из	4	4
46	в своих	2	4
47	в этих	3	4
48	и до	2	4
49	не было	2	4
50	а в	9	4
51	в области	3	4
52	тем что	4	4
53	там где	2	4
54	с ним	2	4
55	но в	2	4
56	но они	3	3
57	всех этих	2	3
58	о чем	3	3
59	в течение	5	3
60	в xix	10	3
61	в одном	3	3
62	на все	2	3
63	и нового	2	3
64	в г	4	3
65	в том	17	3
66	в день	6	3
67	из них	8	3
68	несмотря на	3	3
69	но эти	3	3
70	и других	7	3
71	и обряды	3	3
72	в праздник	3	3
73	так в	4	3
74	их в	3	3
75	далеко не	3	3
76	о том	8	3
77	связи с	4	2
78	что в	19	2
79	не были	2	2
80	для них	3	2
81	могут быть	2	2
82	но даже	2	2
83	в нашем	2	2
84	в качестве	3	2
85	думать что	3	2
86	и обрядов	6	2
87	та же	2	2
88	как известно	2	2
89	в тех	4	2
90	там же	5	2
91	в целях	3	2
92	пелись в	2	2
93	он был	2	2
94	по существу	4	2
95	в дальнейшем	2	2
96	но это	4	2
97	что они	7	2
98	связаны с	3	2
99	связанные с	3	2
100	так например	6	2
101	ничего не	3	2
102	до конца	2	2
103	еще не	4	2
104	и другие	13	2
105	этого момента	3	2
106	этого праздника	3	2
107	вплоть до	4	2
108	у него	2	2
109	хотя и	2	2
110	в ней	2	2
111	к ней	2	2
112	еще в	4	2
113	на этой	2	2
114	вместе с	10	2
115	в их	4	2
116	за счет	2	2
117	в связи	4	2
118	новый год	25	2
119	того как	5	2
120	на самом	2	2
121	мы наблюдаем	2	2
122	так же	3	2
123	на новый	2	2
124	мы должны	2	2
125	мы можем	2	2
