N	2gram	Bakhtin_Pr_1	PoTuStor
1	может быть	21	17
2	и в	23	16
3	прежде всего	7	9
4	таким образом	11	9
5	в этом	25	9
6	и его	13	8
7	и с	4	8
8	точки зрения	21	8
9	не может	11	8
10	с его	6	7
11	сказать что	5	7
12	не только	13	7
13	и это	5	6
14	и к	4	6
15	с точки	15	6
16	самом деле	5	6
17	для него	15	6
18	при этом	3	6
19	все эти	8	5
20	ни в	3	5
21	сознание и	3	5
22	еще не	5	5
23	как бы	28	5
24	с самого	2	4
25	самого начала	3	4
26	в нем	20	4
27	и их	2	4
28	но и	11	4
29	так и	10	4
30	все это	7	4
31	хотя бы	2	4
32	и все	3	4
33	мысли и	2	4
34	так как	7	4
35	и не	34	4
36	на самом	4	4
37	а потому	2	4
38	как мы	5	4
39	можно сказать	2	4
40	и наконец	5	4
41	и даже	3	4
42	и на	10	4
43	в этой	4	4
44	художественного творчества	2	4
45	с ее	2	4
46	все что	3	4
47	только в	8	4
48	в один	2	4
49	его в	4	4
50	но в	4	4
51	в его	24	4
52	в этих	2	3
53	что в	8	3
54	жизни и	6	3
55	и есть	5	3
56	во всех	5	3
57	вместе с	2	3
58	сих пор	2	3
59	в большинстве	2	3
60	отношения к	2	3
61	в одном	9	3
62	к себе	2	3
63	этом смысле	9	3
64	и вот	2	3
65	большинстве случаев	2	3
66	и притом	2	3
67	крайней мере	2	3
68	в том	11	3
69	а в	7	3
70	том что	9	3
71	и как	8	3
72	с другими	7	3
73	с их	5	3
74	то что	18	3
75	их в	2	3
76	в основе	5	3
77	по крайней	2	3
78	мира и	7	3
79	в области	3	3
80	во всяком	4	3
81	в основном	2	3
82	и потому	3	3
83	до сих	2	3
84	между ними	2	3
85	всяком случае	3	3
86	поэтому и	2	2
87	один из	2	2
88	не могут	6	2
89	что и	5	2
90	ни было	4	2
91	сознания и	3	2
92	как не	4	2
93	никогда не	5	2
94	в них	3	2
95	во всей	2	2
96	оно не	2	2
97	из этих	2	2
98	его целом	5	2
99	в жизни	6	2
100	то же	10	2
101	к этому	2	2
102	и других	5	2
103	он ищет	3	2
104	что он	10	2
105	мы не	2	2
106	мир по	2	2
107	и т.п	3	2
108	у него	6	2
109	и по	2	2
110	и для	3	2
111	нам кажется	4	2
112	для нас	3	2
113	в этот	2	2
114	как и	8	2
115	они не	3	2
116	мы видим	3	2
117	так же	6	2
118	но это	5	2
119	есть в	3	2
120	мы уже	2	2
121	не на	3	2
122	он не	4	2
123	и этим	2	2
124	говорить о	2	2
125	в пределах	9	2
126	было бы	6	2
127	кажется что	3	2
128	все то	4	2
129	о том	2	2
130	из тех	2	2
131	в самом	8	2
132	но как	3	2
133	за пределы	6	2
134	в своей	11	2
135	только то	3	2
136	и о	3	2
137	с ним	6	2
138	в мир	3	2
139	себя и	2	2
