N	3gram	Potebnia_M_4	Myshleni
1	в том что	7	31
2	с точки зрения	3	11
3	мы могли бы	2	9
4	то же самое	4	7
5	и тот же	2	7
6	один и тот	2	7
7	не только не	3	5
8	для того чтобы	4	5
9	на то что	4	4
10	таким образом что	2	4
11	и то что	4	4
12	о том что	5	3
13	с тем что	4	3
14	в этом случае	5	3
15	во всяком случае	3	3
16	между тем как	2	3
17	вместе с тем	3	3
18	в данном случае	2	2
19	в том смысле	2	2
20	не могут быть	2	2
21	только в том	2	2
22	более и более	2	2
23	все более и	2	2
24	подобно тому как	2	2
