N	2gram	Trubetskoy_1	OGranits
1	и в	26	13
2	прежде всего	2	9
3	не может	4	8
4	и не	8	8
5	может быть	10	8
6	точки зрения	13	7
7	в его	5	7
8	таким образом	22	6
9	не только	10	6
10	то что	7	6
11	только в	4	6
12	мы должны	6	6
13	как бы	12	6
14	все же	6	5
15	с точки	6	5
16	хотя бы	3	5
17	и т.д	6	5
18	и наконец	2	5
19	в процессе	2	5
20	то же	4	4
21	тех пор	2	4
22	все это	6	4
23	лишь в	5	4
24	мы можем	2	4
25	но в	7	4
26	связана с	2	3
27	отношению к	3	3
28	что в	9	3
29	никогда не	5	3
30	но и	9	3
31	так и	6	3
32	не как	2	3
33	и все	2	3
34	в одном	3	3
35	превращается в	2	3
36	не в	2	3
37	в которой	3	3
38	ни один	2	3
39	в себе	6	3
40	ничего общего	2	3
41	и для	5	3
42	общего с	2	3
43	так как	9	3
44	не исчерпывается	2	2
45	не менее	3	2
46	подойти к	3	2
47	уже в	2	2
48	с этой	3	2
49	самого начала	2	2
50	в нем	4	2
51	пути к	2	2
52	связанных с	2	2
53	а не	5	2
54	в отношении	6	2
55	с другой	8	2
56	в них	2	2
57	в связи	3	2
58	а в	4	2
59	с одной	7	2
60	в течение	4	2
61	все эти	6	2
62	те же	2	2
63	с телом	2	2
64	с самого	3	2
65	к тому	6	2
66	и к	5	2
67	если бы	3	2
68	в общем	8	2
69	не имеет	5	2
70	в том	11	2
71	наконец в	2	2
72	так же	5	2
73	том что	7	2
74	в этом	15	2
75	учение о	4	2
76	между тем	2	2
77	при этом	3	2
78	к сожалению	3	2
79	связанные с	7	2
80	для него	3	2
81	тот же	2	2
82	одной стороны	7	2
83	несмотря на	6	2
84	в области	9	2
85	в самом	4	2
86	вслед за	2	2
87	и при	3	2
88	и является	2	2
89	а также	2	2
