N	2gram	Ircho_Kome_1	Sovremen
1	не может	2	17
2	точки зрения	4	12
3	может быть	9	12
4	таким образом	8	11
5	мы не	3	9
6	в этом	3	7
7	и в	22	7
8	и не	8	6
9	как и	9	6
10	в результате	4	6
11	мы можем	4	6
12	ничего не	3	6
13	прежде всего	5	5
14	мы видели	2	4
15	в целом	3	4
16	вместе с	2	4
17	а в	6	4
18	вопрос о	3	4
19	не только	10	4
20	в том	11	4
21	из них	10	4
22	так как	4	4
23	уже в	5	3
24	все же	3	3
25	поэтому мы	2	3
26	все это	5	3
27	в конце	6	3
28	то же	6	3
29	ясно что	4	3
30	на две	2	3
31	в нем	4	3
32	у нас	3	3
33	не в	6	3
34	в этой	7	3
35	одна из	2	3
36	еще не	2	3
37	при этом	5	3
38	было бы	2	3
39	в одном	8	3
40	и все	3	3
41	в себе	2	3
42	в области	2	3
43	но в	4	3
44	только один	2	2
45	не менее	3	2
46	в виде	3	2
47	у него	3	2
48	то и	2	2
49	и во	2	2
50	с одной	3	2
51	как мы	4	2
52	в свою	2	2
53	в и	2	2
54	из которых	2	2
55	и даже	5	2
56	и по	6	2
57	тем не	2	2
58	мы знаем	2	2
59	то ни	2	2
60	такой же	2	2
61	во всяком	2	2
62	на этом	2	2
63	времени и	2	2
64	могут быть	3	2
65	как известно	2	2
66	что в	6	2
67	тот же	3	2
68	же самое	2	2
69	на его	5	2
70	такого рода	6	2
71	в самом	2	2
72	в которой	6	2
73	отличие от	2	2
74	в его	5	2
75	всяком случае	2	2
