N	3gram	Vygotskiy__1	Vladivir
1	в том что	9	10
2	тем не менее	2	9
3	о том что	7	8
4	с точки зрения	2	6
5	не может быть	8	6
6	вместе с тем	2	6
7	в конце концов	3	5
8	более или менее	2	5
9	в то время	5	4
10	точно так же	3	4
11	в этом смысле	2	3
12	с одной стороны	5	3
13	в отличие от	3	3
14	само по себе	5	3
15	только в том	3	3
16	во всяком случае	6	3
17	в настоящее время	2	3
18	в том случае	2	3
19	что и в	2	3
20	так же как	4	2
21	в таком случае	2	2
22	то время как	5	2
23	на то что	8	2
24	с другой стороны	5	2
25	что в этом	3	2
26	в этом отношении	2	2
