N	2gram	Berdyaev_V_1	Freidism
1	и не	20	23
2	прежде всего	2	18
3	в этом	4	15
4	в его	4	15
5	как и	4	11
6	как бы	5	11
7	то что	9	11
8	все эти	3	11
9	и потому	7	10
10	так и	4	10
11	с ним	2	10
12	но в	3	10
13	с его	3	9
14	и в	16	9
15	во всех	3	9
16	все что	4	8
17	что он	4	8
18	еще не	8	8
19	в своей	3	8
20	не только	2	8
21	все это	5	8
22	только в	2	8
23	и все	4	8
24	так как	9	8
25	ни в	3	7
26	тот же	3	7
27	во всяком	2	7
28	один из	2	7
29	никогда не	3	6
30	для него	2	6
31	того что	5	6
32	в ней	4	6
33	хотя бы	3	6
34	но мы	2	5
35	не в	3	5
36	в чем	3	5
37	что в	3	5
38	но и	5	5
39	в себя	2	5
40	а в	2	5
41	могут быть	2	5
42	но не	2	4
43	в котором	4	4
44	в этих	3	4
45	в жизни	3	4
46	к тому	3	4
47	в последнем	2	4
48	конечно не	2	4
49	в нем	4	4
50	и за	2	4
51	не было	3	4
52	уже не	2	4
53	того чтобы	2	4
54	и для	3	4
55	мы не	2	4
56	потому что	4	4
57	говорить о	4	4
58	не могут	2	3
59	и есть	4	3
60	тому что	3	3
61	в них	3	3
62	на себя	5	3
63	что все	4	3
64	но это	3	3
65	ее в	2	3
66	жизни и	3	3
67	и что	3	3
68	одна из	2	3
69	человека и	6	3
70	в силах	4	2
71	его и	2	2
72	это не	2	2
73	оно не	3	2
74	в конце	3	2
75	и теперь	2	2
76	для нас	2	2
77	да и	2	2
78	том что	2	2
79	самого себя	2	2
80	всех людей	3	2
81	они и	2	2
82	в прошлом	2	2
83	а не	7	2
84	что мы	4	2
85	как не	3	2
86	от этих	2	2
87	а с	2	2
88	человека как	2	2
89	и они	3	2
90	в стихии	2	2
91	и то	2	2
92	их в	3	2
93	от этого	3	2
94	что и	3	2
95	в первый	3	2
