N	2gram	Bakhtin_Pr_2	Russkaja
1	не может	24	22
2	и не	42	19
3	в том	8	17
4	в этом	20	17
5	и в	45	14
6	с другом	2	14
7	друг с	2	14
8	то что	5	13
9	таким образом	11	11
10	то же	5	11
11	точки зрения	19	11
12	же время	3	10
13	но и	15	10
14	в то	5	10
15	том что	7	9
16	не только	16	9
17	в себе	5	9
18	с точки	9	9
19	может быть	18	9
20	прежде всего	11	8
21	как на	2	8
22	самом деле	4	7
23	мы должны	4	7
24	о том	3	7
25	и с	7	7
26	если бы	2	6
27	что он	7	6
28	и к	2	6
29	для него	9	6
30	все это	5	6
31	в своем	5	6
32	и для	2	6
33	в своих	4	6
34	себя и	2	5
35	жизни в	2	5
36	хотя бы	5	5
37	на то	2	5
38	и на	7	5
39	или иной	3	5
40	при этом	2	5
41	до сих	2	5
42	было бы	4	5
43	конечно не	6	5
44	в своей	6	5
45	он не	9	5
46	никогда не	17	5
47	в нем	20	5
48	сих пор	2	5
49	во всех	4	5
50	а потому	2	5
51	из которых	2	5
52	а в	3	5
53	потому что	8	5
54	только в	9	5
55	а лишь	3	4
56	но не	6	4
57	что в	6	4
58	в мире	3	4
59	как и	14	4
60	все что	3	4
61	в другое	2	4
62	как бы	15	4
63	все же	4	4
64	себя в	2	4
65	жизни и	15	4
66	со стороны	4	4
67	от того	2	4
68	что же	4	4
69	в их	4	4
70	точку зрения	5	4
71	не в	8	4
72	можно было	2	4
73	в его	22	4
74	и т.д	3	4
75	его в	3	4
76	так как	5	4
77	к этой	2	4
78	он сам	6	3
79	для них	3	3
80	именно в	3	3
81	в большинстве	2	3
82	в конце	4	3
83	что все	3	3
84	таким же	2	3
85	и как	2	3
86	лишь в	2	3
87	что они	3	3
88	так чтобы	2	3
89	должно быть	4	3
90	еще не	9	3
91	в самом	13	3
92	одной из	2	3
93	той или	3	3
94	и потому	6	3
95	для этого	3	3
96	точке зрения	3	3
97	что и	5	3
98	не есть	2	3
99	из них	9	3
100	все они	4	3
101	не было	2	3
102	того что	3	3
103	ко всем	2	3
104	и по	2	3
105	друг друга	7	3
106	что для	2	3
107	или в	2	3
108	тем что	2	3
109	конце концов	3	3
110	одна из	3	3
111	в сознании	2	3
112	только для	2	2
113	а с	3	2
114	сама по	5	2
115	и более	2	2
116	должна быть	3	2
117	у него	6	2
118	были бы	2	2
119	его и	3	2
120	при полном	2	2
121	и от	3	2
122	этот вопрос	4	2
123	по себе	8	2
124	ни в	2	2
125	уже не	6	2
126	так что	2	2
127	но это	2	2
128	от него	3	2
129	есть и	3	2
130	проявляется в	2	2
131	она не	5	2
132	от друга	2	2
133	и о	2	2
134	говорили в	2	2
135	в ней	7	2
136	в котором	7	2
137	на почве	4	2
138	для себя	3	2
139	друг от	2	2
140	себя на	2	2
141	в некоторых	2	2
142	ее в	2	2
143	всем этим	2	2
144	по отношению	8	2
145	отношения к	2	2
146	если не	2	2
147	все эти	4	2
148	и вот	2	2
149	и что	2	2
150	тем самым	2	2
151	а не	10	2
152	и даже	3	2
153	не так	2	2
154	к нему	11	2
155	так же	5	2
156	в таком	3	2
157	людей и	2	2
158	в результате	3	2
159	их в	7	2
160	мы можем	4	2
161	не о	2	2
162	даже и	2	2
163	с самим	2	2
164	мы уже	3	2
165	в начале	2	2
166	в этих	4	2
167	большинстве случаев	2	2
168	с ним	8	2
169	отметить что	2	2
170	в области	2	2
171	но в	6	2
