N	3gram	Losev_Vlad_2	Vvedenie
1	о том что	3	12
2	в том что	9	12
3	тем не менее	6	8
4	то же время	3	6
5	в то же	3	6
6	в том чтобы	2	5
7	в данном случае	2	4
8	по крайней мере	4	4
9	не только в	2	4
10	можно было бы	2	4
11	само по себе	2	4
12	во всяком случае	6	4
13	так или иначе	3	4
14	как мы видели	2	3
15	заключается в том	2	3
16	в конце концов	3	2
17	дело в том	3	2
18	что же касается	5	2
19	с точки зрения	3	2
20	не в том	3	2
21	во второй половине	2	2
22	точно так же	3	2
23	не говоря уже	2	2
24	к этому времени	2	2
25	в связи с	8	2
