N	3gram	Vinokur_St_1	Psycholo
1	в том что	17	17
2	для того чтобы	10	13
3	в самом деле	5	11
4	с точки зрения	8	10
5	заключается в том	3	10
6	не может быть	5	8
7	и т п	9	8
8	на то что	4	6
9	в этом отношении	7	5
10	до сих пор	7	5
11	на самом деле	6	5
12	только в том	3	4
13	в данном случае	6	4
14	так же как	3	4
15	и в самом	3	4
16	о том что	11	4
17	можно было бы	8	4
18	тем не менее	2	4
19	в то время	2	3
20	что и в	4	3
21	то же время	4	2
22	что в этой	2	2
23	так как в	2	2
24	как и в	2	2
25	том что в	3	2
26	и в том	2	2
27	во всяком случае	6	2
28	в то же	4	2
29	и то что	2	2
30	в этой области	5	2
31	и т д	21	2
32	не в том	2	2
33	того или иного	4	2
34	с другой стороны	6	2
