N	3gram	Tiupa_Teor_1	Analitik
1	не может быть	4	16
2	в том что	8	9
3	в то же	5	8
4	в отличие от	6	6
5	значении этого слова	2	6
6	то же время	5	6
7	по отношению к	4	5
8	факторов художественного впечатления	3	5
9	мы имеем дело	2	4
10	в конечном счете	6	4
11	с точки зрения	3	4
12	в том числе	2	3
13	состоит в том	5	3
14	в нашем случае	2	3
15	с одной стороны	2	3
16	того или иного	3	3
17	в данном случае	5	2
18	организации художественного текста	4	2
19	в коем случае	2	2
20	ни в коем	2	2
21	не сводится к	4	2
22	одного и того	3	2
23	не могут быть	2	2
24	в равной степени	3	2
25	тех или иных	3	2
26	коем случае не	2	2
27	и того же	3	2
28	с другой стороны	5	2
