N	3gram	Vinokur_Vv_1	Analitik
1	не может быть	8	16
2	в том что	12	9
3	в то же	5	8
4	в том чтобы	5	7
5	в отличие от	3	6
6	то же время	5	6
7	по отношению к	4	5
8	что иное как	4	5
9	не что иное	4	4
10	с точки зрения	2	4
11	большей или меньшей	2	4
12	есть не что	2	3
13	состоит в том	2	3
14	не в том	2	3
15	с одной стороны	4	3
16	для того чтобы	21	3
17	о том что	12	3
18	и т п	5	3
19	мере в какой	4	2
20	в данном случае	4	2
21	в самом деле	5	2
22	именно в этом	3	2
23	в этом отношении	3	2
24	в широком смысле	7	2
25	в свое время	2	2
26	но в то	3	2
27	в той мере	4	2
28	в первом случае	2	2
29	одного и того	2	2
30	то же самое	2	2
31	не могут быть	2	2
32	той мере в	4	2
33	тех или иных	3	2
34	и того же	2	2
35	с другой стороны	5	2
