N	2gram	Savitsky_P_1	Istorich
1	и в	14	26
2	т е	3	22
3	потому что	3	13
4	что в	4	12
5	в том	9	12
6	в этом	10	12
7	может быть	5	11
8	с другой	5	10
9	том что	4	10
10	и т	3	10
11	и не	12	10
12	не только	17	10
13	но и	6	9
14	в нем	3	8
15	и это	2	8
16	с одной	3	7
17	одной стороны	3	7
18	например в	2	7
19	но в	9	7
20	то что	4	6
21	не может	4	6
22	в виде	2	6
23	и с	2	6
24	в русской	4	6
25	мы не	3	6
26	в ней	6	5
27	в его	2	5
28	то же	9	5
29	в то	7	5
30	только в	7	5
31	с тем	3	4
32	это не	3	4
33	прежде всего	3	4
34	как бы	4	4
35	и тем	2	4
36	а также	4	4
37	если бы	4	3
38	в частности	2	3
39	могут быть	3	3
40	в них	2	3
41	не в	5	3
42	в качестве	9	3
43	наряду с	3	3
44	главным образом	2	3
45	со стороны	2	3
46	а в	4	3
47	и других	2	3
48	и вот	2	3
49	как на	2	3
50	в себе	3	3
51	не было	2	3
52	и как	3	2
53	в эту	2	2
54	в своем	4	2
55	с этим	2	2
56	стороны и	2	2
57	сводится к	3	2
58	для нас	2	2
59	одна из	2	2
60	но не	3	2
61	что мы	3	2
62	было бы	6	2
63	что из	2	2
64	северной америке	3	2
65	в северной	2	2
66	не будем	2	2
67	тем самым	3	2
68	а не	2	2
69	того что	2	2
70	с ними	3	2
71	в которых	5	2
72	мы должны	4	2
