N	3gram	Vygotskiy__2	Psycholo
1	в том что	21	17
2	для того чтобы	10	13
3	в самом деле	4	11
4	с точки зрения	18	10
5	заключается в том	7	10
6	с таким образом	3	8
7	не может быть	6	8
8	то же самое	2	6
9	на то что	6	6
10	в этом отношении	3	5
11	на самом деле	2	5
12	в данном случае	3	4
13	и в самом	2	4
14	о том что	4	4
15	можно было бы	5	4
16	само по себе	2	3
17	в конечном счете	4	3
18	в том чтобы	4	3
19	по сравнению с	5	2
20	же самое что	2	2
21	состоит в том	3	2
22	том что в	2	2
23	во всяком случае	6	2
24	подобно тому как	2	2
25	на этот вопрос	5	2
26	что он не	2	2
27	точки зрения социальной	2	2
