N	2gram	Medvedev_V_1	FransuaR
1	и в	26	41
2	во всех	6	17
3	таким образом	31	17
4	в нем	6	16
5	и его	6	13
6	но и	10	13
7	в этом	26	12
8	все это	10	11
9	все эти	6	11
10	прежде всего	13	10
11	в самом	4	10
12	не только	25	10
13	и др	9	10
14	то что	6	10
15	во время	3	9
16	о том	10	9
17	никогда не	4	8
18	в этой	4	8
19	но в	2	8
20	у него	6	7
21	в них	4	7
22	вовсе не	3	7
23	том что	8	7
24	как бы	5	7
25	в особенности	2	7
26	как и	7	7
27	что в	10	7
28	в его	14	7
29	в образе	2	6
30	что он	4	6
31	в году	6	6
32	например в	3	6
33	один из	5	6
34	вместе с	7	6
35	или в	3	6
36	также и	2	6
37	сказать что	5	6
38	в то	6	6
39	то же	10	5
40	с его	3	5
41	в одном	4	5
42	в ее	4	5
43	так же	3	5
44	же время	5	5
45	и он	2	5
46	между собою	2	5
47	из них	9	5
48	так и	5	5
49	до нас	2	5
50	в своем	8	5
51	образов и	4	5
52	в себе	6	5
53	подчеркнуть что	2	5
54	с другой	11	4
55	и от	3	4
56	роль в	4	4
57	а затем	2	4
58	именно в	2	4
59	у нас	2	4
60	и как	3	4
61	не в	6	4
62	большей или	3	4
63	всех его	2	4
64	одной стороны	2	4
65	в большей	2	4
66	меньшей степени	2	4
67	в ней	2	4
68	в котором	3	4
69	даже в	5	4
70	все же	5	4
71	не может	17	4
72	с одной	2	4
73	того чтобы	3	4
74	и наконец	2	4
75	и даже	2	4
76	одним из	5	4
77	а в	3	4
78	другом месте	2	4
79	в результате	5	4
80	в другом	2	4
81	перед нами	4	3
82	он сам	2	3
83	в книге	2	3
84	с этим	3	3
85	или меньшей	3	3
86	как у	2	3
87	было бы	7	3
88	в целях	2	3
89	и их	3	3
90	в искусстве	6	3
91	жизни и	3	3
92	к этим	2	3
93	и для	2	3
94	этом отношении	13	3
95	и не	19	3
96	образов в	2	3
97	они не	2	3
98	того что	3	3
99	что не	3	3
100	между ними	3	3
101	с другими	2	3
102	в плане	5	3
103	только в	7	3
104	только с	2	3
105	в чем	2	3
106	также что	2	3
107	не могут	7	2
108	всех этих	2	2
109	искусстве и	2	2
110	для его	4	2
111	в частности	11	2
112	связана с	2	2
113	все они	2	2
114	в конце	3	2
115	человека и	3	2
116	что все	3	2
117	с более	2	2
118	и образы	3	2
119	стороны и	2	2
120	дель арте	2	2
121	в том	15	2
122	это и	6	2
123	связи с	4	2
124	что они	3	2
125	но не	2	2
126	в значительной	3	2
127	как известно	2	2
128	может быть	22	2
129	в своей	4	2
130	хотя и	2	2
131	он не	2	2
132	и потому	2	2
133	должен быть	4	2
134	мы видели	3	2
135	в форме	3	2
136	другой стороны	8	2
137	как раз	3	2
138	что даже	2	2
139	как это	12	2
140	но с	2	2
141	лишь в	2	2
142	заключается в	2	2
143	а не	7	2
144	и у	2	2
145	их в	6	2
146	между тем	5	2
147	образом в	3	2
148	точки зрения	3	2
149	из этих	7	2
150	говорить о	2	2
151	что мы	2	2
152	начиная с	2	2
153	как он	2	2
154	так сказать	2	2
155	бы в	3	2
156	мира и	3	2
157	отметить что	2	2
158	в области	2	2
159	тогда когда	2	2
160	в романе	4	2
161	как о	2	2
162	а для	2	2
