N	2gram	Losev_Dial_2	EvropaiE
1	и в	19	37
2	точки зрения	12	23
3	что в	7	21
4	не только	19	18
5	с точки	8	17
6	в то	6	16
7	хотя бы	4	15
8	то же	12	15
9	в своем	4	14
10	же время	5	14
11	но и	12	14
12	и не	30	14
13	но в	2	14
14	в этом	8	12
15	в их	2	11
16	в том	14	11
17	в области	2	11
18	так и	10	10
19	отнюдь не	6	9
20	прежде всего	8	9
21	в смысле	5	9
22	не может	9	9
23	т е	30	9
24	в себе	15	9
25	только в	5	9
26	так же	2	9
27	к тому	2	8
28	в ее	4	8
29	было бы	3	8
30	в своей	8	8
31	с одной	2	8
32	между тем	2	8
33	как и	10	7
34	по своему	5	7
35	того что	6	7
36	с другой	5	7
37	также и	2	7
38	так как	14	7
39	вовсе не	13	6
40	том что	10	6
41	может быть	20	6
42	как бы	14	6
43	то что	14	6
44	во всех	2	6
45	и даже	14	6
46	же как	3	5
47	в частности	2	5
48	не в	8	5
49	но не	6	5
50	как мы	3	5
51	в той	3	5
52	и по	4	5
53	от этого	3	5
54	в виде	2	5
55	и потому	5	5
56	независимо от	4	4
57	именно в	2	4
58	вопрос о	3	4
59	можно сказать	5	4
60	само по	2	4
61	несмотря на	2	4
62	в самом	5	4
63	в ней	2	4
64	той или	4	4
65	даже в	3	4
66	по себе	18	4
67	не на	2	4
68	и притом	7	4
69	сказать что	10	4
70	в каком	4	4
71	того или	2	4
72	как это	7	4
73	и к	7	3
74	в сфере	2	3
75	с тем	2	3
76	уже и	2	3
77	можно ли	3	3
78	никогда не	9	3
79	нельзя ли	2	3
80	в определенном	2	3
81	и от	3	3
82	в общем	2	3
83	очевидно что	2	3
84	бы ни	2	3
85	и мы	3	3
86	из них	3	3
87	всяком случае	2	3
88	себе не	3	3
89	что и	5	3
90	не будет	2	3
91	ее в	2	3
92	бы и	2	3
93	как в	2	3
94	и только	4	3
95	и прежде	2	3
96	в таком	4	3
97	в результате	2	3
98	потому что	14	3
99	во всяком	2	3
100	тем что	2	3
101	ни на	2	3
102	в данном	3	3
103	во все	2	3
104	о том	5	3
105	не могут	4	2
106	их из	2	2
107	и более	3	2
108	а не	16	2
109	в этих	3	2
110	в какой	2	2
111	с этим	3	2
112	и все	12	2
113	в одном	4	2
114	к нему	4	2
115	есть не	7	2
116	одна и	4	2
117	что на	2	2
118	и можно	2	2
119	же в	2	2
120	как же	3	2
121	будет ли	2	2
122	есть ли	5	2
123	и как	10	2
124	это значит	8	2
125	в силу	5	2
126	есть в	2	2
127	что если	3	2
128	но как	5	2
129	должна быть	5	2
130	в сферу	2	2
131	или по	2	2
132	что это	10	2
133	не говоря	2	2
134	и если	4	2
135	она не	8	2
136	он не	4	2
137	только к	2	2
138	если в	2	2
139	говоря уже	2	2
140	не есть	47	2
141	в мире	2	2
142	только одно	2	2
143	жизни и	6	2
144	как не	2	2
145	в некоторых	2	2
146	вместе с	2	2
147	данном случае	2	2
148	что же	2	2
149	а в	4	2
150	таким образом	4	2
151	а именно	5	2
152	культуры и	2	2
153	заключается в	4	2
154	и что	5	2
155	или точнее	3	2
156	другой стороны	4	2
157	и тут	3	2
158	мы видим	2	2
159	или в	2	2
160	в своих	2	2
161	и та	6	2
162	что эти	2	2
163	и с	5	2
164	могут быть	4	2
165	в этой	3	2
166	и то	7	2
167	по своей	4	2
168	в истории	2	2
169	как будто	7	2
170	мы должны	2	2
171	если брать	2	2
172	то не	3	2
173	тогда когда	6	2
