N	2gram	Losev_Vlad_2	DiskursI
1	не только	12	28
2	в том	18	23
3	а не	7	22
4	то есть	7	20
5	том что	12	19
6	может быть	7	17
7	и в	30	16
8	как и	5	16
9	в этом	20	15
10	но и	8	14
11	при этом	5	13
12	прежде всего	6	11
13	но не	3	11
14	и не	18	11
15	как в	3	10
16	в частности	2	9
17	в нем	4	9
18	не может	9	9
19	а также	10	8
20	так и	5	8
21	о том	4	8
22	но в	8	8
23	в его	11	7
24	со стороны	4	7
25	то же	4	7
26	не было	10	7
27	в себе	6	7
28	только в	6	7
29	не в	9	7
30	в своем	8	6
31	и как	3	6
32	к тому	2	5
33	можно сказать	4	5
34	как бы	5	5
35	в котором	5	5
36	в своей	5	5
37	то что	20	5
38	во всех	3	5
39	в отличие	3	5
40	а в	11	5
41	в их	2	5
42	отличие от	3	5
43	и на	4	5
44	в данном	3	5
45	с его	4	4
46	что в	12	4
47	в них	3	4
48	для себя	5	4
49	и к	6	4
50	что он	13	4
51	уже не	3	4
52	для него	9	4
53	в целом	4	4
54	же время	3	4
55	связи с	8	4
56	на его	4	4
57	такого рода	2	4
58	и о	4	4
59	отношение к	4	4
60	что не	2	4
61	потому что	9	4
62	однако в	2	3
63	того же	5	3
64	это не	2	3
65	по себе	5	3
66	что и	3	3
67	свою очередь	2	3
68	по своему	2	3
69	в свою	3	3
70	с этим	5	3
71	в самом	2	3
72	еще в	2	3
73	хотя бы	3	3
74	все же	9	3
75	таким образом	3	3
76	именно в	4	3
77	заключается в	2	3
78	того что	5	3
79	и даже	10	3
80	в своих	2	3
81	сказать что	11	3
82	точки зрения	7	3
83	к той	2	3
84	в то	9	3
85	также и	6	3
86	и потому	2	3
87	разного рода	4	2
88	не менее	7	2
89	и есть	2	2
90	никогда не	7	2
91	же касается	5	2
92	и во	2	2
93	по крайней	4	2
94	и все	7	2
95	это в	3	2
96	к этому	6	2
97	в году	24	2
98	ему в	2	2
99	об этом	6	2
100	к его	2	2
101	крайней мере	4	2
102	к такому	3	2
103	более или	3	2
104	на этом	2	2
105	в начале	4	2
106	в сущности	2	2
107	хотя и	6	2
108	о нем	2	2
109	будто бы	2	2
110	говоря уже	2	2
111	не есть	4	2
112	себя в	2	2
113	или менее	3	2
114	что же	8	2
115	данном случае	2	2
116	мысли и	2	2
117	жизни в	2	2
118	как к	2	2
119	поскольку в	3	2
120	отношения к	3	2
121	уже в	3	2
122	как мы	11	2
123	и что	5	2
124	том чтобы	2	2
125	и он	4	2
126	и по	2	2
127	то с	2	2
128	и его	6	2
129	здесь в	2	2
130	во всяком	6	2
131	что касается	3	2
132	и вообще	10	2
133	не говоря	3	2
134	в этой	4	2
135	уже о	2	2
136	едва ли	3	2
137	в виду	2	2
138	о чем	6	2
139	в новом	2	2
140	это было	4	2
