N	2gram	Medvedev_V_1	NovoeSre
1	а не	7	17
2	не может	17	16
3	и в	26	16
4	и не	19	11
5	и есть	5	10
6	что в	10	9
7	жизни и	3	8
8	он не	2	8
9	в том	15	8
10	как и	7	7
11	в этом	26	7
12	может быть	22	7
13	с его	3	6
14	никогда не	4	6
15	не в	6	6
16	лишь в	2	6
17	должен быть	4	5
18	в нем	6	5
19	все это	10	5
20	в жизни	2	5
21	и к	3	5
22	в ней	2	5
23	не только	25	5
24	не менее	2	4
25	то что	6	4
26	в них	4	4
27	это не	7	4
28	не было	7	4
29	и для	2	4
30	должно быть	2	4
31	прежде всего	13	4
32	о том	10	4
33	значит что	2	4
34	и потому	2	4
35	но и	10	3
36	в своей	4	3
37	с другой	11	3
38	человека и	3	3
39	во всех	6	3
40	к тому	4	3
41	что такое	2	3
42	в ее	4	3
43	с тем	3	3
44	подобно тому	2	3
45	смысле слова	2	3
46	она не	3	3
47	еще не	2	3
48	тому как	2	3
49	сказать что	5	3
50	что все	3	2
51	и весь	2	2
52	у него	6	2
53	вместе с	7	2
54	все они	2	2
55	так и	5	2
56	что она	2	2
57	и формы	2	2
58	другой стороны	8	2
59	формы и	2	2
60	и от	3	2
61	а в	3	2
62	с одной	2	2
63	все эти	6	2
64	нет и	3	2
65	роль в	4	2
66	того чтобы	3	2
67	одной стороны	2	2
68	зависит от	2	2
69	и даже	2	2
70	хотя бы	19	2
71	но не	2	2
72	вот почему	4	2
73	так же	3	2
74	по существу	3	2
75	это и	6	2
76	войны и	2	2
77	том что	8	2
78	можно было	2	2
79	связана с	2	2
80	же как	2	2
81	одна из	4	2
82	и заключается	2	2
83	могут быть	5	2
84	с этим	3	2
85	равно как	4	2
86	в себе	6	2
87	ли это	2	2
88	в то	6	2
89	познания и	4	2
90	ни одна	2	2
91	том чтобы	2	2
92	мира и	3	2
93	как это	12	2
94	но для	2	2
95	хотя и	2	2
96	но в	2	2
