N	2gram	Tiupa_Anal_2	Marksizm
1	может быть	6	28
2	и в	16	19
3	как бы	10	19
4	и не	12	19
5	не может	4	18
6	точки зрения	4	17
7	то же	4	16
8	и его	4	16
9	языка и	2	15
10	как мы	3	15
11	в этом	18	15
12	таким образом	2	14
13	лишь в	9	14
14	в сущности	4	14
15	не только	16	13
16	с точки	2	13
17	речи и	2	13
18	высказывания и	2	11
19	если бы	3	11
20	вовсе не	2	11
21	не в	4	10
22	в пределах	9	10
23	но и	12	10
24	том что	12	10
25	так и	15	10
26	и т.п	8	10
27	речи в	2	10
28	для него	4	9
29	при этом	10	9
30	как и	14	9
31	а не	10	9
32	отнюдь не	8	8
33	же время	2	8
34	по отношению	4	8
35	в то	2	8
36	отношению к	4	8
37	только в	4	8
38	никогда не	3	7
39	высказывания в	3	7
40	в том	12	7
41	его в	2	7
42	но в	6	7
43	прежде всего	3	7
44	внутренней речи	4	7
45	и для	2	7
46	в таком	2	7
47	к тому	7	6
48	в самом	6	6
49	и все	3	6
50	между тем	2	6
51	во всех	4	6
52	или иной	3	5
53	в контексте	5	5
54	на этой	2	5
55	в их	3	5
56	так же	2	5
57	и на	6	5
58	к этому	2	5
59	того же	4	5
60	в его	2	5
61	этого слова	3	5
62	в данном	8	5
63	на то	2	4
64	той или	3	4
65	то что	7	4
66	и тем	4	4
67	и их	2	4
68	того что	2	4
69	с ними	3	4
70	сказать что	2	4
71	бы в	3	4
72	а как	2	4
73	как раз	4	4
74	было бы	3	4
75	только на	3	4
76	в себе	7	4
77	и т.д	3	4
78	ничего не	9	4
79	в этих	2	3
80	столь же	4	3
81	с другой	6	3
82	в двух	2	3
83	как система	5	3
84	в этой	9	3
85	одной стороны	4	3
86	за пределы	4	3
87	в котором	2	3
88	а в	3	3
89	с одной	5	3
90	не имеет	2	3
91	о том	7	3
92	же является	2	3
93	в устах	2	3
94	таком случае	2	3
95	по себе	2	3
96	в качестве	11	3
97	еще не	2	3
98	одной из	3	3
99	он не	2	3
100	и до	2	3
101	что и	3	3
102	не есть	2	3
103	в своей	2	3
104	в отличие	2	3
105	на основе	2	3
106	той же	2	3
107	и то	3	3
108	могут быть	10	3
109	отличие от	2	3
110	место в	3	2
111	что в	2	2
112	в нашем	3	2
113	не знает	3	2
114	он был	2	2
115	тому же	4	2
116	выходят за	2	2
117	как о	3	2
118	о чем	2	2
119	не так	4	2
120	значительной степени	2	2
121	в своем	4	2
122	отношения к	2	2
123	именно в	3	2
124	речевого потока	2	2
125	и даже	9	2
126	не следует	2	2
127	по крайней	3	2
128	он и	2	2
129	к его	2	2
130	и является	4	2
131	того или	3	2
132	то есть	9	2
133	у него	4	2
134	или иного	3	2
135	не с	4	2
136	но не	4	2
137	ведь это	2	2
138	здесь в	2	2
139	имеют место	2	2
140	от своего	2	2
141	в диалоге	2	2
142	и особенно	4	2
143	крайней мере	3	2
144	себя в	2	2
145	приводит к	3	2
146	еще более	2	2
147	сводится к	3	2
148	в значительной	2	2
149	в речи	3	2
150	и он	2	2
151	или в	3	2
152	свидетельствует о	2	2
153	тем что	3	2
154	вступает в	2	2
155	на протяжении	2	2
156	ответ на	3	2
157	это было	2	2
158	вместе с	2	2
