N	2gram	Bakhtin_Pr_1	slovoVRo
1	в романе	4	46
2	и в	38	39
3	может быть	26	37
4	и т	14	35
5	и его	16	33
6	т п	13	33
7	то есть	46	26
8	не только	9	24
9	и не	42	22
10	но и	9	21
11	говорящий человек	2	21
12	не может	27	20
13	в нем	15	19
14	все это	3	16
15	в этом	15	16
16	так и	5	15
17	а не	5	14
18	слова в	7	13
19	как в	4	13
20	отличие от	5	13
21	в пределах	6	13
22	во всех	11	12
23	в отличие	5	12
24	в истории	2	11
25	слово в	2	11
26	вовсе не	2	10
27	к своему	2	9
28	не в	7	9
29	и с	17	9
30	прежде всего	13	8
31	себя в	2	8
32	оно не	3	8
33	слова и	3	8
34	таким образом	10	8
35	точки зрения	8	8
36	с его	2	7
37	языка как	2	7
38	при этом	5	7
39	еще не	7	7
40	в его	43	7
41	как бы	22	7
42	никогда не	5	7
43	в этих	2	7
44	и потому	4	7
45	и даже	3	7
46	как мы	7	7
47	могут быть	5	7
48	с ним	5	7
49	в него	2	7
50	человек в	2	6
51	в них	5	6
52	язык в	2	6
53	и к	3	6
54	все же	6	6
55	как и	7	6
56	в своем	5	6
57	языка в	3	6
58	но не	12	6
59	в большинстве	5	6
60	она не	2	6
61	там где	6	6
62	в значительной	2	6
63	все эти	5	6
64	в слове	3	6
65	но в	4	6
66	не могут	2	5
67	с другой	7	5
68	это не	5	5
69	и для	11	5
70	и все	3	5
71	со словом	5	5
72	том что	3	5
73	или иной	2	5
74	одной стороны	3	5
75	только в	13	5
76	в том	8	5
77	например в	3	5
78	той или	2	5
79	слово и	2	5
80	с одной	3	5
81	человека в	2	5
82	и наконец	6	5
83	с ними	4	5
84	от него	3	5
85	конечно не	5	5
86	большинстве случаев	5	5
87	в плане	7	5
88	не менее	4	4
89	и др	8	4
90	себя и	3	4
91	и мир	2	4
92	но здесь	3	4
93	на фоне	3	4
94	ни в	11	4
95	узком смысле	2	4
96	отношению к	19	4
97	же время	3	4
98	одна из	2	4
99	на почве	3	4
100	слова не	3	4
101	по отношению	21	4
102	его не	2	4
103	входит в	8	4
104	отношения к	6	4
105	то же	5	4
106	что оно	2	4
107	и других	2	4
108	с помощью	7	4
109	в таком	3	4
110	а в	6	4
111	с другими	3	4
112	слова с	2	4
113	языка но	2	4
114	и на	3	4
115	дело с	6	4
116	в основе	5	4
117	в то	4	4
118	отношение к	10	4
119	его в	9	4
120	здесь не	4	4
121	во всем	2	4
122	или как	3	4
123	что в	7	3
124	материала и	2	3
125	материал в	4	3
126	хотя бы	4	3
127	и от	3	3
128	отметить что	7	3
129	должна быть	4	3
130	здесь в	2	3
131	не с	4	3
132	в свою	2	3
133	что и	2	3
134	но это	3	3
135	связи с	2	3
136	на этом	2	3
137	единство и	2	3
138	всех его	4	3
139	и как	8	3
140	как к	2	3
141	в ней	4	3
142	материал и	2	3
143	к нему	10	3
144	в некоторых	2	3
145	этом отношении	2	3
146	лишь в	2	3
147	с точки	6	3
148	рядом с	5	3
149	сказать что	4	3
150	между тем	7	3
151	может иметь	5	3
152	говорить о	3	3
153	в особенности	2	3
154	в чем	2	3
155	как это	2	3
156	чем в	2	2
157	а лишь	2	2
158	в данном	4	2
159	не было	2	2
160	и более	2	2
161	независимо от	13	2
162	ни к	2	2
163	и другие	2	2
164	хотя и	3	2
165	в нашем	4	2
166	но она	2	2
167	единству и	2	2
168	не всегда	6	2
169	в себе	4	2
170	и здесь	2	2
171	своим предметом	4	2
172	что он	2	2
173	она может	3	2
174	в дальнейшем	3	2
175	более того	4	2
176	имеет дело	9	2
177	из важнейших	3	2
178	все что	3	2
179	но лишь	2	2
180	материала в	10	2
181	мы увидим	3	2
182	со всеми	3	2
183	проникает в	2	2
184	не входят	4	2
185	его моментов	2	2
186	в поэзии	9	2
187	нем и	2	2
188	к материалу	11	2
189	за пределы	12	2
190	как вещь	4	2
191	дело идет	2	2
192	известной степени	4	2
193	и проч	28	2
194	связи и	3	2
195	точка зрения	3	2
196	не все	2	2
197	должен быть	2	2
198	то что	8	2
199	дело в	2	2
200	его как	3	2
201	входят в	3	2
202	все они	5	2
203	на него	3	2
204	в их	10	2
205	в форме	4	2
206	кроме того	3	2
207	отличается от	2	2
208	в связи	2	2
209	может и	4	2
210	особенно в	2	2
211	в виде	2	2
212	которых мы	4	2
213	всех сторон	2	2
214	чем не	2	2
215	на них	3	2
216	на материале	3	2
217	в себя	2	2
218	как отношение	2	2
219	они не	3	2
220	и художественно	2	2
221	того чтобы	2	2
222	для того	2	2
223	менее всего	3	2
224	иметь дело	2	2
225	приходится иметь	2	2
226	или в	2	2
227	на мир	2	2
228	конечно и	4	2
229	также и	3	2
230	и при	2	2
231	в более	4	2
232	он не	3	2
233	нуждается в	2	2
234	далеко не	5	2
235	этического и	2	2
236	к его	2	2
237	но как	2	2
238	в другом	2	2
239	не знает	3	2
240	может стать	3	2
241	материалу к	2	2
242	о том	4	2
243	можно говорить	2	2
244	в области	11	2
245	оно может	2	2
246	степени и	2	2
247	оно было	2	2
248	цели и	2	2
249	вне себя	4	2
