N	3gram	Vinokur_Vv_1	Vladivir
1	в том что	12	10
2	тем не менее	8	9
3	о том что	12	8
4	с точки зрения	2	6
5	а также и	2	6
6	не может быть	8	6
7	вместе с тем	3	6
8	в конце концов	2	5
9	и в этом	3	5
10	дело в том	2	5
11	что же касается	2	5
12	точно так же	2	4
13	и то что	2	4
14	в этом смысле	10	3
15	с одной стороны	4	3
16	в отличие от	3	3
17	само по себе	3	3
18	только в том	2	3
19	хотя бы и	2	3
20	как мы видели	2	3
21	в то же	5	3
22	во всяком случае	3	3
23	то же время	5	2
24	в данном случае	4	2
25	в связи с	2	2
26	и в том	3	2
27	одной стороны и	3	2
28	что несмотря на	2	2
29	также и в	2	2
30	с другой стороны	5	2
31	что в этом	2	2
32	в этом отношении	3	2
33	в существенном смысле	2	2
34	так или иначе	4	2
