N	3gram	Tiupa_Vved_1	Narrotol
1	в том что	3	8
2	в данном случае	6	6
3	не сводится к	4	6
4	не только в	2	6
5	в отличие от	2	5
6	коммуникативного события рассказывания	2	5
7	по отношению к	7	5
8	с одной стороны	5	5
9	войны и мира	3	4
10	состоит в том	2	4
11	к тому же	4	4
12	тем не менее	3	4
13	о том что	4	4
14	между детьми и	4	3
15	то же время	3	3
16	и представляет собой	2	3
17	но при этом	2	3
18	нарративная картина мира	6	3
19	по большей части	3	3
20	той или иной	2	3
21	мальчик и девочка	2	3
22	в то же	4	3
23	в этом отношении	4	3
24	в соответствии с	6	3
25	свидетеля и судии	3	2
26	самим актом рассказывания	2	2
27	собой своего рода	2	2
28	следует подчеркнуть что	5	2
29	которая состоит в	2	2
30	в той мере	2	2
31	имеем дело с	2	2
32	мере в какой	2	2
33	началом и концом	2	2
34	мира самим актом	2	2
35	по своей природе	2	2
36	завязка и развязка	2	2
37	диегетического мира самим	2	2
38	подобно тому как	2	2
39	не может быть	3	2
40	протекания нарративной истории	2	2
41	и тем самым	2	2
42	при всей своей	2	2
43	интрига представляет собой	2	2
44	в данном рассказе	4	2
45	той мере в	2	2
46	и вследствие этого	2	2
47	актом рассказывания отмежеванная	2	2
48	на самом деле	3	2
49	и все же	4	2
50	представляет собой некий	2	2
51	но и в	2	2
52	основной фактор событийности	2	2
53	а то и	2	2
54	важно не только	2	2
55	мы имеем дело	3	2
56	к наличной реальности	2	2
57	в современной нарратологии	3	2
58	рассказывания отмежеванная от	2	2
