N	2gram	Vinokur_Vv_1	Poddanst
1	не только	21	17
2	и в	27	14
3	и не	13	12
4	в области	4	11
5	в отношении	2	10
6	в этом	34	10
7	то же	8	9
8	в том	31	9
9	в качестве	7	9
10	но в	10	9
11	хотя бы	5	8
12	же время	5	7
13	в то	5	7
14	только в	13	7
15	но и	5	6
16	в ней	3	6
17	было бы	5	6
18	с другой	8	5
19	не в	8	5
20	в которых	6	5
21	отношении к	2	5
22	может быть	24	5
23	в котором	4	4
24	то что	17	4
25	что в	11	4
26	если бы	2	4
27	в своем	3	4
28	не может	13	4
29	но также	14	4
30	по себе	9	4
31	а в	5	4
32	том что	26	4
33	большей степени	2	4
34	а также	3	4
35	как бы	5	4
36	в нем	13	3
37	и т	43	3
38	с тем	6	3
39	она есть	5	3
40	и без	2	3
41	это не	8	3
42	с одной	4	3
43	т е	38	3
44	прежде всего	8	3
45	заключается в	4	3
46	для того	21	3
47	с точки	2	3
48	мы не	2	3
49	и как	9	3
50	между тем	8	3
51	но не	7	3
52	могут быть	4	3
53	точки зрения	7	3
54	д а	2	3
55	в себе	4	3
56	что мы	2	3
57	одной стороны	4	3
58	наряду с	2	3
59	потому что	14	3
60	хотя и	3	3
61	не менее	8	2
62	и тем	5	2
63	не к	2	2
64	именно в	8	2
65	и есть	3	2
66	во всех	2	2
67	в частности	3	2
68	время в	2	2
69	тем более	2	2
70	со стороны	12	2
71	в них	4	2
72	все это	6	2
73	как раз	4	2
74	не столько	2	2
75	с этим	2	2
76	именно как	3	2
77	и других	3	2
78	и вот	3	2
79	стороны и	3	2
80	в значительной	2	2
81	а не	3	2
82	того что	12	2
83	должно быть	2	2
84	в ее	11	2
85	как на	11	2
86	говорить о	3	2
87	есть не	3	2
88	одна из	2	2
89	которое в	2	2
90	в силу	3	2
91	в виде	4	2
92	по сравнению	3	2
93	не нужно	2	2
94	в начале	3	2
95	из них	3	2
96	в общем	12	2
97	например в	2	2
98	в сопоставлении	2	2
99	и это	6	2
100	культуры в	5	2
101	да и	4	2
102	в его	10	2
103	взгляда на	4	2
104	и с	2	2
