N	3gram	Tiupa_Disk_1	Vvedenie
1	о том что	5	12
2	в том что	13	12
3	не может быть	3	8
4	то же время	4	6
5	в то же	3	6
6	с другой стороны	3	5
7	в том чтобы	2	5
8	в данном случае	2	4
9	по крайней мере	2	4
10	и в особенности	2	4
11	не только в	2	4
12	с одной стороны	9	4
13	по отношению к	9	4
14	одной стороны и	2	3
15	можно сказать что	2	3
16	большей или меньшей	2	3
17	той или иной	3	2
18	что же касается	2	2
19	не в том	3	2
20	не говоря уже	2	2
21	то же самое	2	2
22	состоит в том	2	2
23	в соответствии с	2	2
24	подобно тому как	2	2
25	обратить внимание на	2	2
