N	2gram	Ircho_Kome_3	Vladivir
1	и в	22	30
2	то что	4	20
3	в этом	8	20
4	у него	4	19
5	в том	12	18
6	и не	21	18
7	и с	4	14
8	что он	8	13
9	в конце	7	13
10	с п	2	12
11	том что	13	12
12	что в	5	12
13	не только	5	12
14	в его	8	11
15	а в	7	11
16	как мы	2	11
17	а также	2	10
18	и даже	3	10
19	не было	2	10
20	не в	4	9
21	было бы	3	9
22	все же	4	9
23	потому что	10	9
24	не может	3	9
25	в то	6	9
26	связи с	5	8
27	в своем	8	8
28	вместе с	9	8
29	но и	4	8
30	в связи	4	8
31	не мог	2	8
32	но в	5	8
33	не менее	5	7
34	никогда не	3	7
35	точки зрения	4	7
36	и все	2	7
37	ни в	10	7
38	до конца	4	7
39	может быть	6	7
40	которую он	2	7
41	а не	4	7
42	как это	5	7
43	хотя и	5	6
44	к этому	6	6
45	прежде всего	5	6
46	и к	3	6
47	об этом	7	6
48	тем не	3	6
49	он был	4	6
50	то время	2	6
51	всяком случае	3	6
52	во всяком	3	6
53	в себе	4	6
54	и его	6	6
55	о чем	7	6
56	и я	2	5
57	к концу	2	5
58	о его	2	5
59	как и	3	5
60	так что	6	5
61	при этом	7	5
62	того же	6	5
63	тот же	2	5
64	в своей	5	5
65	как бы	3	5
66	в котором	2	5
67	так и	4	5
68	все это	5	5
69	с этим	3	5
70	в течение	3	5
71	и что	6	5
72	в результате	2	5
73	так как	11	5
74	с ним	5	5
75	из этого	2	5
76	с его	3	4
77	с этой	3	4
78	вовсе не	4	4
79	его в	8	4
80	мы знаем	2	4
81	что его	5	4
82	в этой	3	4
83	в целом	3	4
84	и если	2	4
85	на его	2	4
86	конечно не	3	4
87	несмотря на	4	4
88	и мы	3	4
89	и о	2	4
90	в ней	4	4
91	он не	5	4
92	в нем	3	4
93	то это	5	4
94	со стороны	11	4
95	то же	7	4
96	на этот	3	4
97	и он	2	4
98	так же	4	4
99	и на	2	4
100	в начале	3	4
101	о том	8	4
102	здесь не	2	4
103	в которой	3	4
104	отношение к	5	4
105	под влиянием	2	3
106	уже в	2	3
107	должен был	4	3
108	в них	3	3
109	в отношении	4	3
110	хотя бы	4	3
111	едва ли	7	3
112	что касается	2	3
113	это в	2	3
114	же время	5	3
115	в свою	7	3
116	что и	8	3
117	по существу	2	3
118	тем более	4	3
119	он и	2	3
120	и для	4	3
121	вплоть до	2	3
122	так или	2	3
123	и особенно	2	3
124	с точки	3	3
125	во всех	2	3
126	как в	2	3
127	отношения к	2	3
128	таким образом	12	3
129	само собой	4	3
130	отличие от	2	3
131	в таком	2	3
132	или иначе	2	3
133	собой разумеется	2	3
134	к ней	8	3
135	он называет	2	3
136	его на	2	3
137	и это	2	3
138	нет ничего	2	3
139	конце концов	2	3
140	в области	2	3
141	этот раз	2	3
142	к нему	5	2
143	отрывок из	2	2
144	нисколько не	3	2
145	с тем	4	2
146	больше того	2	2
147	однако в	4	2
148	это не	2	2
149	себе в	3	2
150	если не	3	2
151	и хотя	2	2
152	разумеется что	2	2
153	к тому	6	2
154	без всякого	2	2
155	друг друга	4	2
156	которой мы	2	2
157	из его	2	2
158	свою очередь	6	2
159	по своему	3	2
160	возможно что	3	2
161	она не	2	2
162	и сам	5	2
163	не могла	3	2
164	в самом	9	2
165	в сущности	2	2
166	в частности	3	2
167	на то	3	2
168	для того	6	2
169	в виду	2	2
170	время как	2	2
171	с известной	2	2
172	не имеет	3	2
173	наряду с	2	2
174	в их	2	2
175	в рукописи	2	2
176	но все	4	2
177	в двух	3	2
178	того чтобы	6	2
179	что не	3	2
180	его не	2	2
181	что для	2	2
182	можно было	2	2
183	нет никаких	2	2
184	в своих	2	2
185	их в	3	2
186	и во	2	2
187	не о	3	2
188	тут же	4	2
189	г в	2	2
190	как он	3	2
191	к этой	2	2
192	ничего не	3	2
193	мы не	2	2
