N	2gram	Vygotskiy__5	VrazhdaK
1	не только	16	9
2	в этом	25	8
3	и что	12	8
4	и в	16	8
5	но и	6	7
6	что в	16	7
7	то что	26	7
8	в котором	2	6
9	в нем	7	6
10	все же	3	6
11	и даже	2	6
12	как и	8	6
13	но в	6	6
14	и с	3	6
15	то же	8	5
16	и не	12	5
17	у него	6	5
18	между тем	3	5
19	в то	5	5
20	как бы	5	4
21	все это	2	4
22	это не	4	4
23	что он	25	4
24	так же	15	4
25	с ним	5	4
26	в своих	2	4
27	может быть	9	4
28	при этом	4	4
29	в истории	2	4
30	о том	8	4
31	в ней	2	4
32	в виду	2	4
33	в этот	2	3
34	я не	2	3
35	связи с	3	3
36	в своем	5	3
37	что у	2	3
38	к этому	3	3
39	в том	18	3
40	и его	3	3
41	том что	15	3
42	и как	3	3
43	тем что	5	3
44	в его	11	3
45	его в	2	3
46	но он	7	3
47	в чем	3	3
48	одним из	2	3
49	он не	8	3
50	а с	2	2
51	в известном	8	2
52	в своей	2	2
53	из них	2	2
54	не менее	3	2
55	никогда не	5	2
56	вместе с	4	2
57	его и	3	2
58	в них	2	2
59	столь же	2	2
60	не может	18	2
61	а в	3	2
62	отношения к	2	2
63	таким образом	19	2
64	но это	3	2
65	в той	6	2
66	о влиянии	2	2
67	мы знаем	3	2
68	с точки	9	2
69	же в	2	2
70	на основе	2	2
71	тем более	4	2
72	в этой	6	2
73	что я	2	2
74	и то	4	2
75	же как	7	2
76	их в	2	2
77	в момент	2	2
78	но как	3	2
79	точки зрения	18	2
80	в свою	4	2
81	отношение к	11	2
82	для него	5	2
83	еще не	4	2
84	о чем	2	2
85	его на	2	2
86	ответ на	3	2
87	к ним	2	2
