N	2gram	Potebnia_M_4	Mirosoze
1	и в	23	46
2	в нем	7	22
3	может быть	26	21
4	в этом	23	20
5	никогда не	3	18
6	для него	5	18
7	и не	18	18
8	не только	10	18
9	есть лишь	2	17
10	но и	11	15
11	не может	11	15
12	человека в	2	14
13	ведет к	3	13
14	как и	14	13
15	не есть	9	13
16	а не	12	13
17	друг друга	2	12
18	потому что	33	12
19	не было	12	11
20	в ней	2	11
21	у нас	2	11
22	но в	8	10
23	он не	2	10
24	в себе	14	10
25	не в	11	9
26	и есть	3	8
27	но это	3	8
28	как бы	5	8
29	в своем	8	8
30	так как	14	8
31	отношение к	2	8
32	она не	2	8
33	человека и	3	7
34	в мире	2	7
35	в нашем	2	7
36	человеческой природы	2	7
37	человек не	2	7
38	что он	4	7
39	и к	6	7
40	и потому	10	7
41	как в	7	7
42	хотя бы	4	7
43	и для	2	7
44	вопрос о	2	6
45	что это	7	6
46	так же	4	6
47	того что	14	6
48	и здесь	2	6
49	не могу	2	6
50	то же	14	5
51	я не	2	5
52	бы и	5	5
53	что все	4	5
54	в самом	3	5
55	один из	2	5
56	что она	2	5
57	человеческого духа	6	5
58	те же	3	5
59	это не	7	5
60	и все	4	5
61	есть не	4	5
62	к тому	3	5
63	то что	29	5
64	для того	6	5
65	и его	2	5
66	в его	5	5
67	и это	2	5
68	что в	17	4
69	тому что	2	4
70	все что	2	4
71	есть уже	4	4
72	что у	3	4
73	не имеет	5	4
74	должны быть	3	4
75	думать что	4	4
76	в свою	2	4
77	мысль что	3	4
78	том что	12	4
79	что и	7	4
80	так и	6	4
81	уже не	3	4
82	того чтобы	4	4
83	на деле	2	4
84	в каждом	3	3
85	в образе	2	3
86	одна и	2	3
87	в том	23	3
88	было в	3	3
89	не так	2	3
90	духа и	2	3
91	в своих	2	3
92	и на	3	3
93	сказать что	8	3
94	и с	4	3
95	что иное	2	3
96	о том	8	3
97	его в	4	3
98	нет ничего	3	3
99	с ним	5	3
100	иное как	2	3
101	не существует	2	3
102	если бы	13	3
103	в них	3	3
104	не что	2	3
105	с которым	2	3
106	есть и	2	3
107	до сих	4	3
108	не будет	3	3
109	сих пор	4	3
110	от того	4	3
111	того как	6	3
112	все равно	3	3
113	для человека	4	3
114	той же	3	3
115	тех которые	2	3
116	тем что	10	3
117	только в	15	3
118	есть в	5	3
119	уже в	5	2
120	в этих	3	2
121	быть может	4	2
122	не всегда	3	2
123	что человек	3	2
124	но эта	2	2
125	да и	4	2
126	так что	5	2
127	это есть	3	2
128	лишь один	2	2
129	такой степени	6	2
130	в действительности	3	2
131	и если	3	2
132	со своим	4	2
133	на его	3	2
134	хотя и	5	2
135	к нему	5	2
136	по отношению	10	2
137	что есть	3	2
138	в разных	3	2
139	и других	3	2
140	лишь в	3	2
141	должно быть	5	2
142	а в	5	2
143	в более	2	2
144	точки зрения	4	2
145	в мысли	3	2
146	эта мысль	2	2
147	бы в	2	2
148	между тем	9	2
149	и та	4	2
150	превращается в	2	2
151	то он	2	2
152	же что	2	2
153	себе в	3	2
154	тогда когда	8	2
155	по себе	11	2
156	мы видим	2	2
157	то в	3	2
158	связи с	3	2
159	чем в	2	2
160	после того	2	2
161	и что	7	2
162	тот же	2	2
163	быть назван	3	2
164	и тот	3	2
165	мысль о	6	2
166	не от	3	2
167	в сущности	2	2
168	к ней	2	2
169	оно не	2	2
170	отношению к	8	2
171	вместе с	6	2
172	быть и	2	2
173	что же	5	2
174	бы не	3	2
175	еще более	2	2
176	более чем	3	2
177	что не	6	2
178	можно было	2	2
179	когда человек	4	2
180	тому как	2	2
181	нас в	2	2
182	сам по	4	2
183	подобно тому	2	2
184	от его	2	2
185	образа и	3	2
186	в которой	6	2
