N	2gram	Bakhtin_fo_1	Literetu
1	а не	3	20
2	и в	50	19
3	может быть	11	17
4	то же	11	12
5	и не	14	11
6	и т.п	4	10
7	в том	9	10
8	как и	8	10
9	но и	8	10
10	же время	9	9
11	не может	6	9
12	в этом	25	9
13	в то	9	9
14	с другой	2	8
15	не только	9	8
16	и даже	2	8
17	том что	4	7
18	то что	6	7
19	так и	12	7
20	с одной	3	7
21	слова и	2	7
22	в себе	3	6
23	одной стороны	2	6
24	при этом	3	6
25	и на	8	6
26	для всех	2	5
27	одна из	2	5
28	но не	5	5
29	в качестве	3	5
30	он не	5	5
31	на фоне	3	5
32	вместе с	3	5
33	того что	2	5
34	то есть	33	5
35	что в	5	4
36	в частности	6	4
37	жизни в	8	4
38	прежде всего	15	4
39	не в	5	4
40	отнюдь не	5	4
41	того же	8	4
42	для него	2	4
43	в ней	4	4
44	в его	13	4
45	один из	3	4
46	жизни и	8	4
47	и других	3	4
48	человека в	17	4
49	мы не	3	4
50	по отношению	3	4
51	тем что	2	4
52	точки зрения	5	4
53	никогда не	2	3
54	в нем	24	3
55	по существу	12	3
56	и как	10	3
57	в начале	3	3
58	в сущности	3	3
59	во всех	6	3
60	и др	9	3
61	отношению к	5	3
62	себе и	3	3
63	в их	6	3
64	и для	4	3
65	этом отношении	3	3
66	так как	6	3
67	с точки	2	3
68	а в	3	3
69	и его	16	3
70	и то	4	3
71	и с	4	3
72	в данном	2	3
73	ничего не	9	3
74	том числе	4	2
75	уже в	2	2
76	не было	7	2
77	к жизни	2	2
78	же как	2	2
79	с тем	3	2
80	у него	6	2
81	себя и	3	2
82	в нашем	2	2
83	не является	2	2
84	в них	4	2
85	в конце	9	2
86	в виду	3	2
87	в одном	3	2
88	в жизни	6	2
89	вовсе не	13	2
90	что было	3	2
91	и к	2	2
92	а также	2	2
93	для нас	2	2
94	в ее	6	2
95	и нет	2	2
96	одно и	3	2
97	до конца	4	2
98	еще не	5	2
99	было бы	2	2
100	со своей	3	2
101	нет в	2	2
102	одной из	3	2
103	как бы	2	2
104	был бы	3	2
105	для себя	7	2
106	что и	3	2
107	как он	2	2
108	все же	6	2
109	с ее	6	2
110	и т	8	2
111	же в	3	2
112	в целом	2	2
113	не к	2	2
114	могут быть	5	2
115	по преимуществу	3	2
116	в истории	2	2
117	и до	5	2
118	как раз	13	2
119	т п	8	2
120	той же	2	2
121	жизни на	2	2
122	к своему	2	2
123	уже не	2	2
124	для того	5	2
125	что не	3	2
126	хотя бы	2	2
127	друг друга	3	2
128	не знает	3	2
129	в результате	6	2
130	потому что	4	2
131	в основе	5	2
132	одно из	3	2
133	на себя	2	2
134	соответствии с	2	2
135	и еще	2	2
136	ту же	2	2
137	с ним	2	2
138	но в	10	2
139	мира в	3	2
