N	2gram	Nazirov_Tv_2	VerxiiNi
1	и в	20	26
2	таким образом	10	22
3	вместе с	3	15
4	в этом	8	15
5	как бы	11	12
6	в том	8	11
7	может быть	8	10
8	не только	13	10
9	и с	8	10
10	что в	7	9
11	но и	8	9
12	так как	3	9
13	с другой	2	8
14	но не	5	8
15	и не	9	8
16	и у	2	8
17	том что	4	7
18	из них	2	7
19	то что	3	7
20	а с	3	7
21	потому что	7	7
22	но в	4	7
23	в конце	6	6
24	представление о	7	6
25	и потому	4	6
26	всяком случае	2	6
27	все же	5	6
28	так и	6	6
29	все это	6	6
30	все эти	4	6
31	во всяком	2	6
32	в себе	3	6
33	о том	5	6
34	крайней мере	2	5
35	тому же	2	5
36	до сих	3	5
37	одной из	3	5
38	в его	10	5
39	никогда не	11	5
40	к жизни	2	5
41	сих пор	3	5
42	так же	5	5
43	а не	6	5
44	в мире	5	5
45	по крайней	2	5
46	и от	4	4
47	что он	6	4
48	в нем	3	4
49	в самом	3	4
50	в котором	3	4
51	не может	7	4
52	и только	2	4
53	а в	4	4
54	то же	7	4
55	и что	2	4
56	и тогда	2	4
57	на этот	2	4
58	и по	2	4
59	с другими	2	4
60	в которых	3	4
61	в виде	2	4
62	он не	3	4
63	в то	10	4
64	только в	2	4
65	то есть	5	4
66	в этой	5	4
67	не менее	2	3
68	за собой	4	3
69	же как	3	3
70	если бы	4	3
71	как о	2	3
72	к этому	3	3
73	для него	3	3
74	так что	2	3
75	на западе	3	3
76	и если	2	3
77	отношению к	3	3
78	когда он	4	3
79	при этом	8	3
80	уже не	3	3
81	и даже	5	3
82	в которой	2	3
83	в таком	3	3
84	с этой	3	3
85	в одном	2	3
86	уже в	2	2
87	начиная с	2	2
88	именно в	6	2
89	превращается в	3	2
90	только для	2	2
91	влечет за	2	2
92	в образе	3	2
93	прежде всего	8	2
94	в пользу	3	2
95	в начале	3	2
96	этой задачи	2	2
97	же время	7	2
98	так например	3	2
99	еще не	5	2
100	но если	2	2
101	один из	3	2
102	в процессе	2	2
103	связь с	2	2
104	приводит к	2	2
105	особенно в	2	2
106	не было	2	2
107	если не	4	2
108	одним из	3	2
109	не должны	2	2
110	из этой	2	2
111	и на	5	2
112	не в	4	2
113	и наконец	2	2
114	этот факт	2	2
115	и это	3	2
116	в россии	2	2
117	из этого	2	2
118	к которому	2	2
119	между тем	3	2
