N	2gram	Bakhtin_fo_1	Dialekti
1	и не	14	30
2	может быть	11	20
3	и в	50	19
4	не только	9	19
5	по себе	2	18
6	и т	8	17
7	а не	3	16
8	в себе	3	15
9	то что	6	14
10	и даже	2	14
11	в том	9	14
12	как бы	2	14
13	так как	6	14
14	потому что	4	14
15	вовсе не	13	13
16	но и	8	12
17	то же	11	12
18	точки зрения	5	12
19	и все	6	12
20	ни в	8	10
21	как и	8	10
22	и как	10	10
23	в нем	24	10
24	так и	12	10
25	том что	4	10
26	это не	6	10
27	сказать что	3	10
28	времени и	10	9
29	никогда не	2	9
30	не может	6	9
31	же и	2	9
32	прежде всего	15	8
33	мы уже	11	8
34	с точки	2	8
35	не в	5	8
36	в этом	25	8
37	в своей	2	8
38	есть не	3	7
39	и к	2	7
40	совершенно не	2	7
41	что в	5	7
42	время как	5	7
43	и то	4	7
44	пространства и	4	7
45	что не	3	6
46	да и	3	6
47	отнюдь не	5	6
48	в то	9	6
49	но не	5	6
50	конечно не	4	6
51	того что	2	6
52	и может	2	6
53	жизни и	8	6
54	личности и	2	6
55	и вообще	2	6
56	тогда когда	2	6
57	не обязательно	2	5
58	с другой	2	5
59	же время	9	5
60	в самом	8	5
61	и следовательно	4	5
62	и потому	3	5
63	и времени	3	5
64	что и	3	5
65	и это	4	5
66	как раз	13	5
67	в одно	3	5
68	и его	16	5
69	жизнь и	4	5
70	только в	4	5
71	и с	4	5
72	в виду	3	5
73	уже в	2	4
74	и время	2	4
75	в своем	4	4
76	ясно что	2	4
77	в одном	3	4
78	не могут	3	4
79	в ее	6	4
80	все же	6	4
81	при этом	3	4
82	то время	4	4
83	одно и	3	4
84	еще не	5	4
85	той или	2	4
86	он не	5	4
87	хотя бы	2	4
88	связи с	6	4
89	ни с	2	4
90	быть и	2	4
91	все это	4	4
92	во времени	3	4
93	в связи	5	4
94	таким образом	11	4
95	и по	2	4
96	есть только	2	4
97	а в	3	4
98	в таком	3	4
99	одно из	3	4
100	могут быть	5	4
101	но он	2	4
102	в каком	2	4
103	как он	2	4
104	с ним	2	4
105	и уже	3	3
106	всех этих	5	3
107	же как	2	3
108	в этих	3	3
109	в это	2	3
110	была бы	2	3
111	вопрос о	2	3
112	это время	7	3
113	а только	2	3
114	об этом	2	3
115	как мы	14	3
116	уже не	2	3
117	время не	2	3
118	кроме того	4	3
119	было бы	2	3
120	себе и	3	3
121	и их	8	3
122	с этим	6	3
123	в разных	5	3
124	не было	7	3
125	мы находим	2	3
126	в той	4	3
127	в данном	2	3
128	от этого	2	3
129	они не	3	3
130	его в	3	3
131	или как	4	3
132	в чем	2	3
133	ничего не	9	3
134	все его	3	3
135	быть только	3	2
136	самого начала	2	2
137	время и	4	2
138	в частности	6	2
139	понятно что	4	2
140	в конце	9	2
141	человека и	11	2
142	и пространства	4	2
143	момент в	2	2
144	именно в	3	2
145	если мы	2	2
146	к тому	3	2
147	же в	3	2
148	в широком	2	2
149	с самого	2	2
150	но все	5	2
151	мы видим	3	2
152	в истории	2	2
153	с тем	3	2
154	и нет	2	2
155	до сих	3	2
156	и прежде	2	2
157	в сущности	3	2
158	необходимо чтобы	2	2
159	в ней	4	2
160	только к	3	2
161	сих пор	3	2
162	раз в	4	2
163	во всех	6	2
164	в некоторых	2	2
165	ее в	2	2
166	я был	2	2
167	в их	6	2
168	так же	6	2
169	т п	8	2
170	например в	6	2
171	с ее	6	2
172	с одной	3	2
173	как в	6	2
174	только и	5	2
175	того и	2	2
176	можно только	2	2
177	жизнь в	2	2
178	в определенном	3	2
179	человеческой жизни	6	2
180	времени в	7	2
181	или в	3	2
182	широком смысле	2	2
183	также и	2	2
184	в результате	6	2
185	их в	3	2
186	не как	2	2
187	тем что	2	2
188	во все	2	2
189	или не	2	2
190	что мы	2	2
191	мы должны	2	2
192	во всяком	3	2
193	все эти	9	2
194	есть в	2	2
195	в которой	2	2
196	но в	10	2
197	мире и	2	2
198	в жизни	6	2
199	вместе с	3	2
