N	3gram	Losev_Dial_1	VLabPisa
1	и т д	19	15
2	в этом отношении	2	13
3	и т п	2	9
4	с другой стороны	4	8
5	не может быть	3	8
6	более или менее	3	6
7	то же время	4	5
8	в то же	4	5
9	не было бы	2	4
10	можно сказать что	3	4
11	в том что	7	4
12	это и есть	2	3
13	к тому что	2	3
14	и в то	2	3
15	о том что	2	3
16	в конце концов	3	2
17	по крайней мере	4	2
18	не рождается из	2	2
19	до сих пор	2	2
20	только то что	3	2
21	во всяком случае	2	2
22	одной стороны и	2	2
23	с одной стороны	2	2
24	можно было бы	4	2
