N	2gram	Potebnia_M_2	FransuaR
1	и в	24	41
2	то есть	30	20
3	таким образом	11	19
4	в этом	8	15
5	и все	3	14
6	как и	7	14
7	то же	12	13
8	все эти	2	13
9	в его	2	12
10	прежде всего	7	11
11	в том	18	11
12	в себе	10	11
13	так и	5	10
14	все это	2	10
15	в то	6	10
16	и его	2	9
17	не в	13	9
18	же время	2	9
19	но и	9	9
20	что в	16	9
21	и от	3	8
22	то что	20	8
23	но в	4	8
24	в них	5	7
25	вовсе не	9	7
26	как бы	9	7
27	в нем	9	7
28	и не	19	7
29	у него	2	6
30	это не	3	6
31	мы видим	2	6
32	есть в	2	6
33	для него	10	6
34	только в	11	6
35	о том	5	6
36	уже в	5	5
37	к этому	2	5
38	не только	15	5
39	на этом	2	5
40	в ней	3	5
41	вместе с	11	5
42	что и	11	5
43	как в	10	5
44	того как	7	5
45	и у	3	5
46	а в	8	5
47	и для	3	5
48	так же	2	5
49	и это	2	5
50	потому что	49	5
51	место в	4	4
52	что это	3	4
53	хотя и	3	4
54	но он	2	4
55	и здесь	2	4
56	том что	8	4
57	но все	2	4
58	одна из	4	4
59	все что	3	4
60	после того	2	4
61	было бы	13	4
62	может быть	23	4
63	влияние на	4	4
64	должно быть	2	4
65	при виде	3	4
66	рядом с	3	4
67	и на	8	4
68	одном из	4	4
69	и есть	2	3
70	что у	2	3
71	того же	14	3
72	во время	4	3
73	в одном	6	3
74	и потому	2	3
75	не должно	2	3
76	в нее	4	3
77	но это	3	3
78	такой же	4	3
79	свою очередь	6	3
80	совсем не	2	3
81	в свою	6	3
82	при этом	13	3
83	в формах	2	3
84	из них	5	3
85	например в	3	3
86	и их	5	3
87	что он	4	3
88	во всех	7	3
89	не может	12	3
90	не было	6	3
91	тем самым	4	3
92	не имеет	6	3
93	и по	2	3
94	той же	3	3
95	с ними	3	3
96	нас в	2	3
97	ничем не	2	3
98	тем что	7	3
99	не на	2	3
100	связанные с	2	3
101	его в	3	3
102	так сказать	4	3
103	так как	10	3
104	все свои	2	2
105	что все	2	2
106	в человеке	4	2
107	с его	2	2
108	ни было	3	2
109	никогда не	4	2
110	в этих	3	2
111	и во	3	2
112	с этим	7	2
113	же что	3	2
114	на самом	2	2
115	человека в	3	2
116	есть не	5	2
117	о котором	2	2
118	связано с	2	2
119	движения в	2	2
120	и как	6	2
121	более или	8	2
122	на другой	2	2
123	в себя	2	2
124	одно и	2	2
125	тот же	5	2
126	еще не	4	2
127	того что	7	2
128	и может	3	2
129	мы в	3	2
130	не совсем	3	2
131	оно не	3	2
132	в состоянии	6	2
133	не есть	6	2
134	остановимся на	2	2
135	же в	5	2
136	на другом	2	2
137	не знаем	2	2
138	и образ	2	2
139	входят в	3	2
140	или менее	8	2
141	во времени	2	2
142	по отношению	2	2
143	в связи	2	2
144	и других	2	2
145	находится в	3	2
146	а не	18	2
147	с самого	2	2
148	а только	8	2
149	уже не	4	2
150	мы не	11	2
151	или в	2	2
152	и то	3	2
153	их в	2	2
154	во всяком	7	2
155	что есть	2	2
156	в словах	3	2
157	во все	2	2
158	может стать	2	2
159	далеко не	3	2
160	как он	4	2
161	было связано	2	2
162	бы в	2	2
163	в чем	7	2
164	в которой	5	2
165	с ним	5	2
166	это было	2	2
167	том как	3	2
