N	2gram	Propp_Morf_1	Otkroven
1	и в	13	19
2	но и	4	13
3	и не	12	13
4	в этом	14	12
5	а не	11	11
6	не в	3	11
7	может быть	52	11
8	не только	4	11
9	вопрос о	7	10
10	потому что	3	9
11	прежде всего	9	9
12	он не	3	7
13	как и	3	6
14	то что	8	5
15	а в	7	5
16	в том	6	5
17	в этой	2	5
18	в россии	2	5
19	с его	2	4
20	т е	21	4
21	того чтобы	3	4
22	все эти	2	4
23	не может	14	4
24	что в	8	4
25	к нему	3	3
26	не могут	4	3
27	в этих	13	3
28	и есть	2	3
29	это не	6	3
30	что он	4	3
31	того что	3	3
32	для того	2	3
33	хотя бы	4	3
34	еще не	3	3
35	могут быть	16	3
36	и ее	3	3
37	было бы	3	3
38	никто не	3	3
39	о том	2	3
40	как бы	3	3
41	это было	3	3
42	все же	7	2
43	что и	7	2
44	и для	2	2
45	с тем	2	2
46	так и	6	2
47	что же	2	2
48	сразу же	2	2
49	не все	6	2
50	все еще	3	2
51	к этому	3	2
52	и к	4	2
53	не имеет	2	2
54	в которой	3	2
55	в других	3	2
56	том что	4	2
57	в другом	2	2
58	что они	2	2
59	сказать что	2	2
60	учение о	3	2
61	совсем не	3	2
62	тем что	4	2
63	его в	2	2
64	так как	16	2
65	и этим	5	2
66	ничего не	4	2
67	хотя и	3	2
68	но в	2	2
69	же можно	2	2
